STM32_v0.10,,,SPS30_SN:5B6A989291D8DB1F
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,59.270508,18.121238,1,0.2,46.7,11,20210921,171014,16711,13.08,28.73,40.78,43.20,14.3,72.9,53.45,87.10,103.43,106.32,106.79,1.06,0,0,3.47,10.3,93.5,B1F
1,59.270500,18.121238,1,1.1,46.2,11,20210921,171015,17785,4.06,10.54,15.60,16.61,14.3,72.9,12.60,25.16,31.98,33.19,33.39,1.22,0,0,3.47,10.3,93.5,B1F
2,59.270500,18.121236,1,0.5,45.6,11,20210921,171016,18860,3.33,6.19,8.35,8.78,14.3,72.2,16.37,23.48,26.42,26.94,27.03,1.03,0,0,3.47,10.3,92.6,B1F
3,59.270500,18.121218,1,0.9,44.3,12,20210921,171018,19934,3.14,5.06,6.48,6.76,14.3,71.3,17.29,22.98,24.92,25.26,25.32,0.89,0,0,3.47,10.3,91.4,B1F
4,59.270500,18.121214,1,0.3,43.8,13,20210921,171019,21007,3.00,4.04,4.75,4.89,14.3,70.3,18.47,22.87,23.87,24.05,24.08,0.81,0,0,3.47,10.3,90.2,B1F
5,59.270500,18.121208,1,0.1,43.3,13,20210921,171020,22081,2.99,3.80,4.32,4.42,14.3,69.5,18.96,23.04,23.79,23.92,23.95,0.76,0,0,3.47,10.3,89.1,B1F
6,59.270508,18.121204,1,1.1,42.9,13,20210921,171021,23151,3.00,3.68,4.10,4.18,14.3,68.8,19.32,23.26,23.87,23.98,24.00,0.74,0,0,3.47,10.3,88.2,B1F
7,59.270508,18.121202,1,0.1,42.6,13,20210921,171022,24225,3.06,3.89,4.42,4.52,14.3,68.0,19.39,23.57,24.34,24.47,24.50,0.75,0,0,3.47,10.3,87.3,B1F
8,59.270516,18.121193,1,0.1,41.6,13,20210921,171023,25298,3.10,3.81,4.24,4.33,14.4,67.4,19.96,24.03,24.67,24.78,24.80,0.74,0,0,3.47,10.4,86.4,B1F
9,59.270524,18.121183,1,0.0,41.9,13,20210921,171024,26367,3.18,4.01,4.53,4.63,14.4,66.8,20.26,24.56,25.32,25.45,25.48,0.76,0,0,3.47,10.4,85.6,B1F
10,59.270532,18.121181,1,0.0,42.2,13,20210921,171025,27440,3.23,4.00,4.47,4.57,14.4,66.2,20.76,25.04,25.74,25.86,25.88,0.78,0,0,3.47,10.4,84.9,B1F
11,59.270532,18.121183,1,0.0,42.5,13,20210921,171026,28514,3.27,3.96,4.37,4.45,14.4,65.7,21.26,25.48,26.09,26.19,26.21,0.76,0,0,3.47,10.4,84.2,B1F
12,59.270532,18.121187,1,0.0,42.6,13,20210921,171027,29589,3.31,4.00,4.40,4.49,14.4,65.2,21.53,25.79,26.40,26.50,26.52,0.77,0,0,3.46,10.4,83.6,B1F
13,59.270532,18.121187,1,0.0,42.7,13,20210921,171028,30660,3.39,4.11,4.53,4.62,14.4,64.7,22.02,26.40,27.03,27.14,27.16,0.77,0,0,3.46,10.4,83.0,B1F
14,59.270532,18.121187,1,0.0,42.8,13,20210921,171029,31734,3.39,4.10,4.52,4.60,14.4,64.3,22.06,26.42,27.05,27.15,27.17,0.77,0,0,3.46,10.4,82.5,B1F
15,59.270540,18.121187,1,0.0,42.8,14,20210921,171030,32809,3.43,4.28,4.81,4.92,14.4,63.9,21.98,26.56,27.34,27.47,27.50,0.80,0,0,3.47,10.4,82.0,B1F
16,59.270540,18.121177,1,0.0,42.4,14,20210921,171032,33880,3.41,4.14,4.57,4.66,14.4,63.6,22.12,26.53,27.18,27.29,27.31,0.77,0,0,3.47,10.4,81.5,B1F
17,59.270549,18.121173,1,0.0,42.2,14,20210921,171033,34954,3.40,4.17,4.63,4.72,14.4,63.2,21.99,26.44,27.12,27.24,27.26,0.78,0,0,3.47,10.4,81.0,B1F
18,59.270549,18.121173,1,0.0,42.2,14,20210921,171033,36028,3.40,4.16,4.61,4.70,14.5,62.9,22.00,26.44,27.11,27.22,27.24,0.78,0,0,3.47,10.5,80.6,B1F
19,59.270549,18.121173,1,0.0,42.2,14,20210921,171035,37102,3.40,4.03,4.38,4.45,14.5,62.5,22.30,26.57,27.10,27.19,27.21,0.75,0,0,3.47,10.5,80.2,B1F
20,59.270549,18.121171,1,0.0,42.1,14,0,171036,38173,3.44,4.02,4.34,4.40,14.5,62.3,22.68,26.93,27.41,27.50,27.51,0.74,0,0,3.47,10.5,79.8,B1F
21,59.270549,18.121171,1,0.0,42.0,14,20210921,171036,39241,3.45,4.02,4.32,4.38,14.5,62.0,22.76,27.00,27.47,27.55,27.57,0.73,0,0,3.47,10.5,79.5,B1F
22,59.270549,18.121171,1,0.0,42.0,14,20210921,171038,40315,3.46,4.07,4.41,4.48,14.5,61.7,22.74,27.05,27.57,27.65,27.67,0.74,0,0,3.47,10.5,79.1,B1F
23,59.270549,18.121171,1,0.0,42.0,14,20210921,171039,41385,3.45,4.05,4.36,4.43,14.5,61.4,22.78,27.05,27.55,27.63,27.65,0.73,0,0,3.47,10.5,78.8,B1F
24,59.270549,18.121171,1,0.0,42.0,14,20210921,171040,42459,3.46,4.00,4.28,4.33,14.6,61.2,22.92,27.13,27.57,27.65,27.66,0.71,0,0,3.46,10.6,78.5,B1F
25,59.270549,18.121173,1,0.0,41.9,14,20210921,171041,43533,3.44,3.96,4.22,4.27,14.6,61.0,22.86,27.03,27.44,27.51,27.52,0.70,0,0,3.47,10.6,78.2,B1F
26,59.270549,18.121173,1,0.0,41.9,14,20210921,171042,44607,3.42,3.92,4.16,4.21,14.6,60.8,22.77,26.89,27.29,27.35,27.37,0.69,0,0,3.46,10.6,78.0,B1F
27,59.270549,18.121173,1,0.0,41.9,14,20210921,171043,45677,3.37,3.85,4.08,4.12,14.6,60.7,22.50,26.54,26.91,26.97,26.99,0.69,0,0,3.46,10.6,77.8,B1F
28,59.270549,18.121173,1,0.0,41.9,14,20210921,171044,46751,3.36,3.78,3.97,4.00,14.6,60.5,22.53,26.49,26.80,26.85,26.86,0.66,0,0,3.46,10.6,77.5,B1F
29,59.270549,18.121173,1,0.0,41.9,15,20210921,171046,47825,3.39,3.83,4.03,4.07,14.6,60.3,22.72,26.74,27.07,27.13,27.14,0.66,0,0,3.46,10.6,77.3,B1F
30,59.270549,18.121173,1,0.0,41.9,15,20210921,171046,48895,3.42,3.87,4.08,4.12,14.7,60.2,22.89,26.95,27.29,27.34,27.36,0.65,0,0,3.47,10.7,77.1,B1F
31,59.270540,18.121173,1,0.0,41.9,15,20210921,171048,49969,3.44,3.90,4.12,4.16,14.6,60.0,22.98,27.07,27.43,27.49,27.50,0.65,0,0,3.47,10.6,76.9,B1F
32,59.270540,18.121173,1,0.0,41.9,15,0,171049,51043,3.46,3.92,4.12,4.16,14.6,59.9,23.19,27.29,27.63,27.69,27.70,0.64,0,0,3.47,10.6,76.8,B1F
33,59.270540,18.121173,1,0.0,41.9,15,20210921,171049,52110,3.49,3.95,4.16,4.20,14.7,59.8,23.38,27.52,27.87,27.93,27.94,0.64,0,0,3.47,10.7,76.6,B1F
34,59.270540,18.121173,1,0.0,41.9,15,20210921,171050,53181,3.53,3.96,4.15,4.18,14.7,59.7,23.67,27.81,28.13,28.19,28.20,0.63,0,0,3.46,10.7,76.5,B1F
35,59.270540,18.121171,1,0.0,41.8,16,20210921,171052,54255,3.56,3.98,4.15,4.19,14.7,59.6,23.94,28.09,28.40,28.45,28.46,0.63,0,0,3.47,10.7,76.4,B1F
36,59.270540,18.121171,1,0.0,41.7,16,20210921,171053,55329,3.60,4.03,4.22,4.26,14.7,59.5,24.15,28.36,28.69,28.74,28.75,0.63,0,0,3.47,10.7,76.3,B1F
37,59.270540,18.121171,1,0.0,41.7,16,20210921,171054,56399,3.62,4.05,4.23,4.26,14.7,59.5,24.33,28.56,28.87,28.92,28.93,0.63,0,0,3.46,10.7,76.2,B1F
38,59.270540,18.121171,1,0.0,41.7,16,20210921,171055,57473,3.64,4.08,4.26,4.30,14.8,59.3,24.44,28.71,29.03,29.08,29.09,0.64,0,0,3.47,10.8,76.0,B1F
39,59.270540,18.121171,1,0.0,41.7,16,20210921,171056,58547,3.65,4.09,4.27,4.31,14.7,59.2,24.53,28.80,29.12,29.18,29.19,0.64,0,0,3.46,10.7,75.9,B1F
40,59.270540,18.121171,1,0.0,41.7,16,20210921,171057,59621,3.67,4.09,4.27,4.30,14.8,59.1,24.71,28.98,29.29,29.34,29.35,0.64,0,0,3.46,10.8,75.8,B1F
41,59.270540,18.121171,1,0.0,41.8,16,20210921,171058,60692,3.70,4.11,4.27,4.30,14.8,59.0,24.94,29.23,29.52,29.57,29.58,0.64,0,0,3.46,10.8,75.6,B1F
42,59.270540,18.121171,1,0.0,41.8,16,20210921,171059,61766,3.74,4.13,4.28,4.31,14.8,58.9,25.23,29.54,29.81,29.85,29.86,0.63,0,0,3.46,10.8,75.5,B1F
43,59.270540,18.121173,1,0.0,41.8,17,20210921,171101,62840,3.75,4.14,4.28,4.30,14.8,58.8,25.36,29.67,29.93,29.97,29.98,0.63,0,0,3.46,10.8,75.4,B1F
44,59.270540,18.121173,1,0.0,41.9,17,0,171102,63910,3.75,4.14,4.28,4.31,14.8,58.7,25.35,29.67,29.93,29.97,29.98,0.63,0,0,3.46,10.8,75.3,B1F
45,59.270540,18.121173,1,0.0,41.9,17,20210921,171102,64977,3.74,4.12,4.25,4.27,14.8,58.7,25.34,29.63,29.87,29.91,29.92,0.63,0,0,3.46,10.8,75.2,B1F
46,59.270540,18.121173,1,0.0,41.9,17,20210921,171103,66051,3.75,4.12,4.25,4.28,14.8,58.6,25.37,29.66,29.91,29.95,29.96,0.63,0,0,3.46,10.8,75.1,B1F
47,59.270540,18.121173,1,0.0,41.8,17,20210921,171104,67126,3.74,4.11,4.24,4.27,14.8,58.5,25.33,29.61,29.86,29.90,29.91,0.62,0,0,3.46,10.8,75.0,B1F
48,59.270540,18.121173,1,0.0,41.8,17,20210921,171106,68197,3.74,4.12,4.25,4.27,14.8,58.5,25.31,29.60,29.85,29.89,29.90,0.62,0,0,3.46,10.8,74.9,B1F
49,59.270532,18.121173,1,0.0,41.8,17,20210921,171107,69271,3.74,4.13,4.27,4.30,14.8,58.4,25.26,29.56,29.83,29.87,29.88,0.63,0,0,3.46,10.8,74.8,B1F
50,59.270532,18.121173,1,0.0,41.8,17,20210921,171108,70345,3.72,4.11,4.26,4.29,14.9,58.3,25.12,29.41,29.68,29.73,29.74,0.63,0,0,3.46,10.9,74.7,B1F
51,59.270532,18.121173,1,0.0,41.8,17,20210921,171109,71415,3.72,4.12,4.28,4.31,14.9,58.2,25.06,29.36,29.64,29.69,29.70,0.63,0,0,3.46,10.9,74.6,B1F
52,59.270532,18.121173,1,0.0,41.8,17,20210921,171110,72489,3.71,4.12,4.27,4.30,14.8,58.2,25.04,29.33,29.61,29.66,29.67,0.63,0,0,3.46,10.8,74.5,B1F
53,59.270532,18.121173,1,0.0,41.8,17,20210921,171111,73563,3.70,4.11,4.27,4.30,14.8,58.1,24.95,29.24,29.53,29.57,29.58,0.63,0,0,3.46,10.8,74.5,B1F
54,59.270532,18.121173,1,0.0,41.8,17,20210921,171112,74638,3.67,4.07,4.22,4.26,14.8,58.1,24.74,28.98,29.26,29.31,29.32,0.64,0,0,3.45,10.8,74.4,B1F
55,59.270532,18.121173,1,0.0,41.8,17,20210921,171114,75709,3.65,4.04,4.19,4.22,14.9,58.1,24.63,28.84,29.11,29.15,29.16,0.64,0,0,3.46,10.9,74.4,B1F
56,59.270532,18.121183,1,2.4,42.5,19,0,171115,76783,3.66,4.06,4.21,4.24,14.9,58.1,24.70,28.93,29.20,29.25,29.26,0.63,0,0,3.46,10.9,74.4,B1F
57,59.270532,18.121198,1,4.4,42.7,19,20210921,171115,77850,3.67,4.05,4.20,4.22,14.9,58.0,24.80,29.02,29.28,29.32,29.34,0.63,0,0,3.46,10.9,74.3,B1F
58,59.270532,18.121214,1,0.0,42.6,19,20210921,171116,78921,3.69,4.06,4.19,4.22,14.9,57.9,24.93,29.16,29.41,29.45,29.46,0.63,0,0,3.46,10.9,74.2,B1F
59,59.270532,18.121214,1,2.0,42.6,19,20210921,171117,79996,3.71,4.08,4.20,4.23,14.9,57.8,25.10,29.34,29.58,29.62,29.63,0.62,0,0,3.46,10.9,74.1,B1F
60,59.270532,18.121214,1,0.0,42.7,19,20210921,171118,81071,3.74,4.10,4.22,4.25,14.9,57.8,25.37,29.64,29.87,29.91,29.92,0.62,0,0,3.46,10.9,74.0,B1F
61,59.270532,18.121214,1,0.0,42.8,19,20210921,171120,82145,3.77,4.13,4.24,4.27,14.9,57.7,25.56,29.86,30.09,30.12,30.13,0.62,0,0,3.46,10.9,73.9,B1F
62,59.270532,18.121216,1,0.0,42.8,19,20210921,171121,83215,3.79,4.16,4.29,4.31,14.9,57.7,25.68,30.01,30.25,30.29,30.30,0.62,0,0,3.46,10.9,73.8,B1F
63,59.270532,18.121216,1,0.0,42.8,19,20210921,171122,84289,3.81,4.17,4.28,4.30,14.9,57.6,25.85,30.18,30.40,30.44,30.45,0.62,0,0,3.46,10.9,73.8,B1F
64,59.270532,18.121218,1,0.0,42.9,19,20210921,171123,85363,3.81,4.17,4.27,4.30,15.0,57.6,25.87,30.19,30.41,30.45,30.46,0.62,0,0,3.46,11.0,73.8,B1F
65,59.270532,18.121218,1,0.0,42.9,19,20210921,171123,86433,3.80,4.14,4.25,4.27,14.9,57.5,25.78,30.08,30.30,30.33,30.34,0.62,0,0,3.46,10.9,73.7,B1F
66,59.270532,18.121230,1,0.0,43.0,19,20210921,171125,87507,3.77,4.11,4.20,4.22,14.9,57.5,25.61,29.87,30.08,30.11,30.12,0.62,0,0,3.46,10.9,73.6,B1F
67,59.270532,18.121248,1,3.5,42.9,19,20210921,171126,88581,3.74,4.06,4.16,4.17,14.9,57.5,25.40,29.62,29.82,29.85,29.86,0.61,0,0,3.46,10.9,73.6,B1F
