STM32_v0.10,,,SPS30_SN:1FBB4547F28DB5A1
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,0,000000,16754,2.64,9.68,15.26,16.38,26.9,56.6,1.68,13.25,20.60,21.86,22.06,1.63,0,0,3.71,22.9,70.9,5A1
1,0.000000,0.000000,0,-1.0,0.0,0,0,000000,17825,3.65,3.86,3.86,3.86,26.9,56.3,24.96,29.04,29.12,29.13,29.13,0.41,0,0,3.71,22.9,70.6,5A1
2,0.000000,0.000000,0,-1.0,0.0,0,0,000000,18896,3.63,3.84,3.84,3.84,26.9,56.1,24.86,28.93,29.00,29.01,29.01,0.40,0,0,3.71,22.9,70.3,5A1
3,0.000000,0.000000,0,-1.0,0.0,0,0,000000,19970,3.64,3.85,3.85,3.85,26.9,55.8,24.88,28.95,29.02,29.03,29.04,0.32,0,0,3.71,22.9,69.9,5A1
4,0.000000,0.000000,0,-1.0,0.0,0,0,000000,21044,3.62,3.83,3.83,3.83,26.9,55.6,24.74,28.80,28.87,28.88,28.88,0.35,0,0,3.71,22.9,69.7,5A1
5,0.000000,0.000000,0,-1.0,0.0,0,0,000000,22118,3.58,3.79,3.79,3.79,26.9,55.5,24.49,28.50,28.57,28.58,28.58,0.35,0,0,3.71,22.9,69.5,5A1
6,0.000000,0.000000,0,-1.0,0.0,0,0,000000,23188,3.53,3.73,3.73,3.73,26.9,55.3,24.14,28.09,28.16,28.17,28.17,0.36,0,0,3.71,22.9,69.3,5A1
7,0.000000,0.000000,0,-1.0,0.0,0,0,000000,24262,3.47,3.67,3.67,3.67,26.9,55.2,23.76,27.65,27.72,27.73,27.73,0.36,0,0,3.71,22.9,69.1,5A1
8,0.000000,0.000000,0,-1.0,0.0,0,0,000000,25336,3.42,3.61,3.61,3.61,26.9,55.0,23.37,27.20,27.26,27.27,27.28,0.38,0,0,3.70,22.9,68.9,5A1
9,0.000000,0.000000,0,-1.0,0.0,0,0,000000,26410,3.36,3.56,3.56,3.56,26.9,54.9,23.01,26.79,26.85,26.86,26.86,0.38,0,0,3.70,22.9,68.8,5A1
10,0.000000,0.000000,0,-1.0,0.0,0,0,000000,27481,3.30,3.49,3.49,3.49,26.9,54.8,22.55,26.24,26.31,26.32,26.32,0.39,0,0,3.71,22.9,68.6,5A1
11,0.000000,0.000000,0,-1.0,0.0,0,0,000000,28557,3.22,3.41,3.41,3.41,27.0,54.7,22.05,25.66,25.72,25.73,25.73,0.39,0,0,3.71,23.0,68.6,5A1
12,0.000000,0.000000,0,-1.0,0.0,0,0,000000,29633,3.09,3.26,3.26,3.26,27.0,54.7,21.12,24.57,24.64,24.64,24.65,0.41,0,0,3.70,23.0,68.6,5A1
