STM32_v0.10,,,SPS30_SN:8255898918DF2286
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,0,000000,16734,2.12,7.21,11.23,12.04,24.2,53.7,2.64,11.33,16.57,17.48,17.63,1.03,0,0,3.76,20.2,67.6,286
1,0.000000,0.000000,0,-1.0,0.0,0,0,000000,17805,9.32,19.35,27.04,28.57,24.2,53.6,41.37,63.65,73.78,75.53,75.83,0.91,0,0,3.76,20.2,67.5,286
2,0.000000,0.000000,0,-1.0,0.0,0,0,000000,18881,9.42,16.59,21.96,23.03,24.2,53.7,48.91,67.61,74.75,75.98,76.20,0.87,0,0,3.76,20.2,67.5,286
3,0.000000,0.000000,0,-1.0,0.0,0,0,000000,19948,9.37,14.77,18.70,19.49,24.2,53.6,52.85,69.21,74.50,75.41,75.57,0.79,0,0,3.76,20.2,67.5,286
4,0.000000,0.000000,0,-1.0,0.0,0,0,000000,21016,9.20,13.75,17.00,17.65,24.2,53.6,53.67,68.77,73.18,73.93,74.07,0.74,0,0,3.76,20.2,67.5,286
5,0.000000,0.000000,0,-1.0,0.0,0,0,000000,22083,9.04,12.22,14.38,14.81,24.2,53.6,55.81,68.99,71.98,72.49,72.58,0.67,0,0,3.76,20.2,67.5,286
6,0.000000,0.000000,0,-1.0,0.0,0,0,000000,23157,8.77,11.46,13.23,13.59,24.2,53.5,55.08,67.36,69.85,70.27,70.35,0.70,0,0,3.76,20.2,67.3,286
7,0.000000,0.000000,0,-1.0,0.0,0,0,000000,24224,8.48,11.20,13.01,13.37,24.2,53.2,52.95,64.97,67.50,67.93,68.01,0.69,0,0,3.76,20.2,67.0,286
8,0.000000,0.000000,0,-1.0,0.0,0,0,000000,25291,8.26,10.48,11.88,12.17,24.3,53.0,52.68,63.83,65.83,66.17,66.24,0.63,0,0,3.76,20.3,66.7,286
9,0.000000,0.000000,0,-1.0,0.0,0,0,000000,26359,8.03,10.01,11.23,11.48,24.3,53.0,51.59,62.21,63.98,64.27,64.33,0.62,0,0,3.76,20.3,66.7,286
