STM32_v0.10,,,SPS30_SN:275358D39CB411ED
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210927,050602,16667,2.92,9.53,14.74,15.78,19.1,52.3,4.67,16.11,22.90,24.08,24.28,1.63,0,0,3.61,15.1,66.5,1ED
1,0.000000,0.000000,0,-1.0,0.0,0,20210927,050603,17739,3.48,5.57,7.11,7.41,19.1,52.2,19.42,25.61,27.67,28.02,28.08,0.73,0,0,3.61,15.1,66.4,1ED
2,0.000000,0.000000,0,-1.0,0.0,0,20210927,050605,18816,3.43,5.24,6.54,6.80,19.1,52.1,19.75,25.52,27.28,27.58,27.63,0.90,0,0,3.61,15.1,66.2,1ED
3,0.000000,0.000000,0,-1.0,0.0,0,20210927,050606,19885,3.33,4.65,5.56,5.75,19.1,52.0,20.17,25.21,26.47,26.68,26.72,0.80,0,0,3.61,15.1,66.0,1ED
4,0.000000,0.000000,0,-1.0,0.0,0,20210927,050607,20954,3.29,4.64,5.58,5.77,19.1,51.9,19.82,24.87,26.16,26.38,26.42,0.84,0,0,3.61,15.1,65.9,1ED
5,0.000000,0.000000,0,-1.0,0.0,0,20210927,050607,22023,3.15,3.98,4.51,4.61,19.1,51.8,20.13,24.37,25.12,25.25,25.27,0.71,0,0,3.61,15.1,65.8,1ED
6,0.000000,0.000000,0,-1.0,0.0,0,20210927,050609,23099,3.11,4.06,4.68,4.80,19.1,51.6,19.56,23.90,24.77,24.92,24.95,0.77,0,0,3.61,15.1,65.6,1ED
7,0.000000,0.000000,0,-1.0,0.0,0,20210927,050610,24168,3.06,4.08,4.76,4.90,19.1,51.6,18.99,23.38,24.33,24.50,24.53,0.80,0,0,3.61,15.1,65.5,1ED
8,0.000000,0.000000,0,-1.0,0.0,0,20210927,050611,25237,2.97,3.91,4.54,4.66,19.1,51.5,18.61,22.81,23.68,23.83,23.86,0.77,0,0,3.61,15.1,65.5,1ED
9,0.000000,0.000000,0,-1.0,0.0,0,20210927,050612,26313,2.89,3.83,4.46,4.59,19.1,51.5,18.06,22.18,23.05,23.20,23.23,0.79,0,0,3.61,15.1,65.4,1ED
