STM32_v0.10,,,SPS30_SN:19AFAB104BA1531A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211128,185612,16661,56.94,60.21,60.21,60.21,19.4,44.0,391.22,453.25,454.39,454.54,454.62,0.50,0,0,3.71,15.4,55.9,31A
1,0.000000,0.000000,0,-1.0,0.0,0,20211128,185613,17732,44.74,47.31,47.31,47.31,19.5,44.4,307.39,356.13,357.02,357.14,357.20,0.40,0,0,3.71,15.5,56.4,31A
2,0.000000,0.000000,0,-1.0,0.0,0,20211128,185613,18809,44.72,47.29,47.29,47.29,19.4,44.6,307.29,356.02,356.92,357.03,357.10,0.46,0,0,3.71,15.4,56.7,31A
3,0.000000,0.000000,0,-1.0,0.0,0,20211128,185615,19878,44.65,47.22,47.22,47.22,19.4,44.7,306.80,355.45,356.34,356.46,356.52,0.48,0,0,3.71,15.4,56.8,31A
4,0.000000,0.000000,0,-1.0,0.0,0,20211128,185616,20948,44.52,47.08,47.08,47.08,19.4,44.7,305.94,354.45,355.34,355.46,355.52,0.47,0,0,3.71,15.4,56.8,31A
5,0.000000,0.000000,0,-1.0,0.0,0,20211128,185617,22025,44.41,46.96,46.96,46.96,19.5,44.7,305.16,353.55,354.44,354.56,354.62,0.48,0,0,3.71,15.5,56.7,31A
6,0.000000,0.000000,0,-1.0,0.0,0,20211128,185618,23095,44.27,46.81,46.81,46.81,19.4,44.4,304.19,352.42,353.31,353.42,353.49,0.48,0,0,3.71,15.4,56.4,31A
7,0.000000,0.000000,0,-1.0,0.0,0,20211128,185619,24165,44.16,46.70,46.70,46.70,19.5,44.2,303.43,351.54,352.42,352.54,352.60,0.48,0,0,3.71,15.5,56.1,31A
8,0.000000,0.000000,0,-1.0,0.0,0,20211128,185620,25235,44.22,46.77,46.77,46.77,19.5,44.0,303.87,352.06,352.95,353.06,353.12,0.50,0,0,3.71,15.5,55.8,31A
9,0.000000,0.000000,0,-1.0,0.0,0,20211128,185622,26312,44.20,46.74,46.74,46.74,19.5,43.8,303.71,351.87,352.76,352.87,352.94,0.50,0,0,3.71,15.5,55.6,31A
10,0.000000,0.000000,0,-1.0,0.0,0,20211128,185623,27382,44.11,46.64,46.64,46.64,19.5,43.7,303.06,351.11,352.00,352.11,352.18,0.49,0,0,3.71,15.5,55.4,31A
11,0.000000,0.000000,0,-1.0,0.0,0,20211128,185624,28452,43.95,46.47,46.47,46.47,19.5,43.5,301.97,349.85,350.73,350.85,350.91,0.48,0,0,3.71,15.5,55.2,31A
12,0.000000,0.000000,0,-1.0,0.0,0,20211128,185625,29529,43.81,46.33,46.33,46.33,19.5,43.3,301.05,348.78,349.66,349.77,349.84,0.47,0,0,3.71,15.5,55.0,31A
13,0.000000,0.000000,0,-1.0,0.0,0,20211128,185626,30599,43.65,46.15,46.15,46.15,19.6,43.2,299.90,347.45,348.33,348.44,348.50,0.47,0,0,3.71,15.6,54.8,31A
14,0.000000,0.000000,0,-1.0,0.0,0,20211128,185626,31669,43.24,45.72,45.72,45.72,19.5,43.1,297.11,344.22,345.09,345.20,345.26,0.47,0,0,3.71,15.5,54.7,31A
15,0.000000,0.000000,0,-1.0,0.0,0,20211128,185628,32739,43.09,45.57,45.57,45.57,19.5,42.9,296.09,343.04,343.91,344.01,344.08,0.48,0,0,3.71,15.5,54.5,31A
16,0.000000,0.000000,0,-1.0,0.0,0,20211128,185629,33816,43.01,45.49,45.49,45.49,19.6,42.8,295.56,342.43,343.29,343.40,343.47,0.47,0,0,3.71,15.6,54.3,31A
17,0.000000,0.000000,0,-1.0,0.0,0,20211128,185630,34886,42.94,45.41,45.41,45.41,19.6,42.8,295.07,341.86,342.72,342.83,342.89,0.48,0,0,3.71,15.6,54.3,31A
18,0.000000,0.000000,0,-1.0,0.0,0,20211128,185631,35957,42.90,45.37,45.37,45.37,19.6,42.7,294.79,341.54,342.40,342.51,342.57,0.48,0,0,3.71,15.6,54.3,31A
19,0.000000,0.000000,0,-1.0,0.0,0,20211128,185632,37024,42.81,45.27,45.27,45.27,19.6,42.7,294.14,340.77,341.63,341.74,341.81,0.47,0,0,3.71,15.6,54.2,31A
20,0.000000,0.000000,0,-1.0,0.0,0,20211128,185633,38095,42.74,45.19,45.19,45.19,19.6,42.6,293.64,340.20,341.06,341.17,341.23,0.47,0,0,3.71,15.6,54.1,31A
21,0.000000,0.000000,0,-1.0,0.0,0,20211128,185635,39166,42.57,45.02,45.02,45.02,19.6,42.6,292.54,338.93,339.78,339.89,339.96,0.47,0,0,3.71,15.6,54.1,31A
22,0.000000,0.000000,0,-1.0,0.0,0,20211128,185636,40233,42.46,44.90,44.90,44.90,19.6,42.6,291.75,338.01,338.87,338.97,339.04,0.47,0,0,3.71,15.6,54.0,31A
23,0.000000,0.000000,0,-1.0,0.0,0,20211128,185636,41304,42.31,44.74,44.74,44.74,19.6,42.5,290.71,336.81,337.66,337.76,337.83,0.46,0,0,3.71,15.6,54.0,31A
24,0.000000,0.000000,0,-1.0,0.0,0,20211128,185637,42375,42.18,44.60,44.60,44.60,19.6,42.5,289.80,335.75,336.60,336.71,336.77,0.46,0,0,3.71,15.6,53.9,31A
25,0.000000,0.000000,0,-1.0,0.0,0,20211128,185638,43445,41.96,44.37,44.37,44.37,19.6,42.4,288.31,334.02,334.87,334.97,335.04,0.46,0,0,3.71,15.6,53.8,31A
26,0.000000,0.000000,0,-1.0,0.0,0,20211128,185639,44522,41.70,44.10,44.10,44.10,19.7,42.4,286.54,331.98,332.82,332.92,332.99,0.46,0,0,3.71,15.7,53.7,31A
27,0.000000,0.000000,0,-1.0,0.0,0,20211128,185641,45592,41.42,43.80,43.80,43.80,19.7,42.3,284.58,329.70,330.53,330.64,330.70,0.46,0,0,3.71,15.7,53.7,31A
28,0.000000,0.000000,0,-1.0,0.0,0,20211128,185642,46662,40.65,42.99,42.99,42.99,19.7,42.2,279.33,323.63,324.44,324.55,324.61,0.46,0,0,3.71,15.7,53.6,31A
29,0.000000,0.000000,0,-1.0,0.0,0,20211128,185643,47739,40.26,42.58,42.58,42.58,19.7,42.2,276.66,320.53,321.34,321.44,321.50,0.46,0,0,3.71,15.7,53.5,31A
