STM32_v0.10,,,SPS30_SN:219627D18E24E2E4
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211008,080529,16677,18.72,27.85,34.37,35.67,19.1,66.5,109.44,140.00,148.85,150.36,150.63,0.71,0,0,3.66,15.1,84.5,2E4
1,0.000000,0.000000,0,-1.0,0.0,0,20211008,080530,17754,18.74,38.95,54.43,57.52,19.1,66.5,83.08,127.92,148.33,151.85,152.46,1.15,0,0,3.66,15.1,84.4,2E4
2,0.000000,0.000000,0,-1.0,0.0,0,20211008,080531,18827,18.78,37.59,51.94,54.81,19.1,66.5,86.73,129.82,148.77,152.04,152.60,1.16,0,0,3.67,15.1,84.4,2E4
3,0.000000,0.000000,0,-1.0,0.0,0,20211008,080532,19902,18.88,34.10,45.55,47.84,19.1,66.4,95.96,134.53,149.73,152.35,152.81,1.07,0,0,3.67,15.1,84.4,2E4
4,0.000000,0.000000,0,-1.0,0.0,0,20211008,080533,20977,19.02,33.31,43.99,46.12,19.1,66.4,99.18,136.68,150.91,153.35,153.78,1.04,0,0,3.66,15.1,84.4,2E4
5,0.000000,0.000000,0,-1.0,0.0,0,20211008,080535,22052,19.30,34.48,45.88,48.15,19.1,66.5,99.00,137.93,153.08,155.69,156.14,1.04,0,0,3.66,15.1,84.5,2E4
6,0.000000,0.000000,0,-1.0,0.0,0,20211008,080536,23123,19.51,35.81,48.10,50.56,19.2,66.6,97.86,138.45,154.76,157.56,158.05,1.05,0,0,3.67,15.2,84.7,2E4
7,0.000000,0.000000,0,-1.0,0.0,0,20211008,080537,24198,19.72,36.39,48.97,51.48,19.1,66.7,98.43,139.70,156.39,159.26,159.76,1.04,0,0,3.66,15.1,84.7,2E4
8,0.000000,0.000000,0,-1.0,0.0,0,20211008,080538,25273,19.88,36.23,48.53,50.99,19.1,66.7,100.30,141.32,157.66,160.47,160.96,1.03,0,0,3.66,15.1,84.7,2E4
9,0.000000,0.000000,0,-1.0,0.0,0,20211008,080539,26345,20.07,36.45,48.77,51.24,19.1,66.7,101.59,142.84,159.20,162.02,162.51,1.02,0,0,3.66,15.1,84.7,2E4
10,0.000000,0.000000,0,-1.0,0.0,0,20211008,080540,27421,20.20,36.61,48.96,51.43,19.1,66.7,102.40,143.83,160.22,163.05,163.54,1.02,0,0,3.66,15.1,84.7,2E4
11,0.000000,0.000000,0,-1.0,0.0,0,20211008,080541,28498,20.39,37.92,51.16,53.81,19.2,66.7,101.02,144.07,161.63,164.65,165.18,1.02,0,0,3.66,15.2,84.8,2E4
12,0.000000,0.000000,0,-1.0,0.0,0,20211008,080542,29571,20.50,37.97,51.15,53.78,19.2,66.8,101.99,145.07,162.56,165.57,166.09,1.02,0,0,3.67,15.2,84.8,2E4
13,0.000000,0.000000,0,-1.0,0.0,0,20211008,080543,30648,20.58,38.17,51.45,54.11,19.2,66.8,102.22,145.55,163.16,166.19,166.72,1.02,0,0,3.66,15.2,84.9,2E4
14,0.000000,0.000000,0,-1.0,0.0,0,20211008,080544,31725,20.72,37.92,50.87,53.46,19.2,66.8,104.13,147.09,164.28,167.25,167.76,1.01,0,0,3.66,15.2,84.8,2E4
15,0.000000,0.000000,0,-1.0,0.0,0,20211008,080545,32802,20.78,37.82,50.64,53.21,19.2,66.7,104.96,147.77,164.80,167.73,168.24,1.01,0,0,3.66,15.2,84.7,2E4
16,0.000000,0.000000,0,-1.0,0.0,0,20211008,080546,33875,20.87,37.81,50.54,53.09,19.2,66.6,105.86,148.63,165.55,168.46,168.97,1.00,0,0,3.66,15.2,84.6,2E4
17,0.000000,0.000000,0,-1.0,0.0,0,20211008,080548,34952,20.95,37.98,50.79,53.35,19.3,66.5,106.18,149.15,166.17,169.09,169.60,1.01,0,0,3.66,15.3,84.5,2E4
18,0.000000,0.000000,0,-1.0,0.0,0,20211008,080549,36029,21.01,38.14,51.03,53.61,19.2,66.5,106.40,149.56,166.67,169.62,170.13,1.01,0,0,3.66,15.2,84.5,2E4
19,0.000000,0.000000,0,-1.0,0.0,0,20211008,080550,37102,21.04,38.23,51.18,53.77,19.2,66.5,106.38,149.65,166.84,169.80,170.31,1.01,0,0,3.65,15.2,84.4,2E4
20,0.000000,0.000000,0,-1.0,0.0,0,20211008,080551,38179,21.04,38.31,51.31,53.91,19.2,66.4,106.22,149.59,166.85,169.83,170.34,1.01,0,0,3.66,15.2,84.4,2E4
21,0.000000,0.000000,0,-1.0,0.0,0,20211008,080552,39256,21.06,38.44,51.53,54.15,19.3,66.4,106.14,149.68,167.05,170.04,170.56,1.01,0,0,3.66,15.3,84.3,2E4
22,0.000000,0.000000,0,-1.0,0.0,0,20211008,080553,40329,21.05,38.49,51.62,54.24,19.3,66.3,105.94,149.53,166.96,169.97,170.49,1.01,0,0,3.66,15.3,84.2,2E4
23,0.000000,0.000000,0,-1.0,0.0,0,20211008,080554,41406,21.08,38.58,51.76,54.40,19.3,66.2,106.00,149.71,167.21,170.22,170.74,1.01,0,0,3.66,15.3,84.0,2E4
24,0.000000,0.000000,0,-1.0,0.0,0,20211008,080555,42483,21.15,38.72,51.96,54.61,19.3,66.2,106.33,150.21,167.77,170.80,171.32,1.00,0,0,3.66,15.3,84.0,2E4
25,0.000000,0.000000,0,-1.0,0.0,0,20211008,080556,43560,21.24,38.89,52.19,54.85,19.3,66.1,106.70,150.76,168.41,171.45,171.98,1.00,0,0,3.66,15.3,84.0,2E4
26,0.000000,0.000000,0,-1.0,0.0,0,20211008,080557,44633,21.35,39.10,52.48,55.16,19.3,66.1,107.22,151.53,169.29,172.34,172.88,1.00,0,0,3.66,15.3,83.9,2E4
27,0.000000,0.000000,0,-1.0,0.0,0,20211008,080558,45710,21.49,39.40,52.90,55.60,19.3,66.0,107.86,152.51,170.43,173.51,174.05,1.00,0,0,3.66,15.3,83.9,2E4
28,0.000000,0.000000,0,-1.0,0.0,0,20211008,080559,46777,21.54,39.55,53.13,55.84,19.3,66.0,107.99,152.82,170.84,173.94,174.48,1.01,0,0,3.66,15.3,83.7,2E4
29,0.000000,0.000000,0,-1.0,0.0,0,20211008,080601,47850,21.63,39.73,53.37,56.10,19.4,65.9,108.43,153.47,171.56,174.68,175.22,1.00,0,0,3.66,15.4,83.7,2E4
30,0.000000,0.000000,0,-1.0,0.0,0,20211008,080602,48927,21.76,39.94,53.64,56.39,19.3,65.9,109.09,154.36,172.54,175.68,176.22,1.00,0,0,3.66,15.3,83.6,2E4
31,0.000000,0.000000,0,-1.0,0.0,0,20211008,080603,50004,21.92,40.28,54.12,56.89,19.4,65.8,109.81,155.47,173.84,177.00,177.55,1.00,0,0,3.65,15.4,83.6,2E4
32,0.000000,0.000000,0,-1.0,0.0,0,20211008,080604,51077,22.08,40.63,54.62,57.41,19.4,65.7,110.51,156.57,175.13,178.32,178.88,1.01,0,0,3.66,15.4,83.4,2E4
33,0.000000,0.000000,0,-1.0,0.0,0,20211008,080605,52154,22.29,41.00,55.11,57.93,19.4,65.6,111.57,158.06,176.78,180.00,180.56,1.00,0,0,3.66,15.4,83.3,2E4
34,0.000000,0.000000,0,-1.0,0.0,0,20211008,080606,53231,22.43,41.23,55.41,58.24,19.4,65.5,112.34,159.08,177.89,181.13,181.69,0.99,0,0,3.65,15.4,83.2,2E4
35,0.000000,0.000000,0,-1.0,0.0,0,20211008,080607,54307,22.49,41.30,55.49,58.32,19.4,65.4,112.68,159.49,178.32,181.56,182.12,0.99,0,0,3.66,15.4,83.1,2E4
36,0.000000,0.000000,0,-1.0,0.0,0,20211008,080608,55379,22.49,41.26,55.41,58.24,19.4,65.4,112.83,159.59,178.36,181.60,182.16,0.99,0,0,3.66,15.4,83.0,2E4
37,0.000000,0.000000,0,-1.0,0.0,0,20211008,080609,56455,22.55,41.28,55.39,58.21,19.4,65.4,113.35,160.12,178.85,182.07,182.63,0.98,0,0,3.66,15.4,83.0,2E4
38,0.000000,0.000000,0,-1.0,0.0,0,20211008,080610,57531,22.60,41.24,55.27,58.07,19.4,65.4,113.93,160.62,179.25,182.46,183.02,0.97,0,0,3.66,15.4,83.1,2E4
39,0.000000,0.000000,0,-1.0,0.0,0,20211008,080611,58603,22.74,41.33,55.31,58.11,19.4,65.5,114.97,161.75,180.32,183.52,184.08,0.96,0,0,3.65,15.4,83.2,2E4
40,0.000000,0.000000,0,-1.0,0.0,0,20211008,080612,59679,22.97,41.53,55.48,58.27,19.5,65.6,116.67,163.64,182.17,185.37,185.92,0.96,0,0,3.66,15.5,83.3,2E4
41,0.000000,0.000000,0,-1.0,0.0,0,20211008,080612,60756,23.03,41.55,55.47,58.26,19.5,65.6,117.17,164.15,182.64,185.83,186.38,0.97,0,0,3.65,15.5,83.3,2E4
42,0.000000,0.000000,0,-1.0,0.0,0,20211008,080614,61829,23.08,41.61,55.53,58.31,19.5,65.6,117.58,164.62,183.12,186.30,186.85,0.97,0,0,3.65,15.5,83.3,2E4
43,0.000000,0.000000,0,-1.0,0.0,0,20211008,080615,62906,23.11,41.56,55.41,58.18,19.5,65.6,117.97,164.93,183.34,186.51,187.06,0.96,0,0,3.66,15.5,83.3,2E4
44,0.000000,0.000000,0,-1.0,0.0,0,20211008,080617,63983,23.22,41.66,55.49,58.26,19.5,65.5,118.77,165.84,184.23,187.40,187.95,0.96,0,0,3.65,15.5,83.2,2E4
45,0.000000,0.000000,0,-1.0,0.0,0,20211008,080618,65060,23.33,41.77,55.61,58.37,19.5,65.5,119.52,166.69,185.09,188.25,188.81,0.96,0,0,3.66,15.5,83.1,2E4
46,0.000000,0.000000,0,-1.0,0.0,0,20211008,080619,66133,23.40,41.81,55.63,58.40,19.5,65.4,120.02,167.23,185.60,188.77,189.32,0.96,0,0,3.65,15.5,83.0,2E4
47,0.000000,0.000000,0,-1.0,0.0,0,20211008,080620,67211,23.49,41.95,55.81,58.58,19.6,65.4,120.54,167.91,186.33,189.50,190.05,0.96,0,0,3.66,15.6,83.0,2E4
48,0.000000,0.000000,0,-1.0,0.0,0,20211008,080621,68287,23.56,42.05,55.92,58.69,19.6,65.3,121.00,168.48,186.92,190.09,190.64,0.96,0,0,3.66,15.6,82.9,2E4
49,0.000000,0.000000,0,-1.0,0.0,0,20211008,080622,69360,23.52,41.99,55.85,58.62,19.6,65.3,120.80,168.21,186.63,189.80,190.36,0.96,0,0,3.65,15.6,82.9,2E4
50,0.000000,0.000000,0,-1.0,0.0,0,20211008,080623,70436,23.49,41.90,55.72,58.48,19.5,65.3,120.66,167.97,186.33,189.49,190.05,0.96,0,0,3.65,15.5,82.8,2E4
51,0.000000,0.000000,0,-1.0,0.0,0,20211008,080624,71512,23.43,41.80,55.57,58.32,19.6,65.2,120.40,167.58,185.90,189.05,189.60,0.96,0,0,3.65,15.6,82.8,2E4
52,0.000000,0.000000,0,-1.0,0.0,0,20211008,080625,72584,23.38,41.70,55.44,58.19,19.6,65.2,120.14,167.21,185.48,188.63,189.18,0.96,0,0,3.65,15.6,82.8,2E4
53,0.000000,0.000000,0,-1.0,0.0,0,20211008,080625,73660,23.20,41.43,55.11,57.85,19.6,65.1,119.08,165.86,184.05,187.18,187.73,0.97,0,0,3.65,15.6,82.7,2E4
54,0.000000,0.000000,0,-1.0,0.0,0,20211008,080627,74737,23.16,41.40,55.09,57.83,19.6,65.1,118.75,165.50,183.70,186.84,187.38,0.97,0,0,3.65,15.6,82.6,2E4
55,0.000000,0.000000,0,-1.0,0.0,0,20211008,080628,75814,23.15,41.45,55.18,57.93,19.6,65.0,118.62,165.44,183.69,186.83,187.38,0.97,0,0,3.65,15.6,82.5,2E4
56,0.000000,0.000000,0,-1.0,0.0,0,20211008,080629,76887,23.12,41.42,55.16,57.90,19.6,64.9,118.41,165.20,183.45,186.60,187.14,0.96,0,0,3.65,15.6,82.4,2E4
57,0.000000,0.000000,0,-1.0,0.0,0,20211008,080630,77964,23.05,41.30,54.99,57.73,19.6,64.9,118.00,164.65,182.85,185.98,186.53,0.96,0,0,3.65,15.6,82.3,2E4
58,0.000000,0.000000,0,-1.0,0.0,0,20211008,080631,79041,22.94,41.09,54.71,57.44,19.6,64.8,117.44,163.85,181.96,185.08,185.62,0.96,0,0,3.66,15.6,82.2,2E4
59,0.000000,0.000000,0,-1.0,0.0,0,20211008,080632,80114,22.80,40.85,54.41,57.12,19.6,64.7,116.67,162.82,180.84,183.94,184.48,0.96,0,0,3.65,15.6,82.1,2E4
60,0.000000,0.000000,0,-1.0,0.0,0,20211008,080634,81191,22.71,40.75,54.29,57.00,19.6,64.6,116.13,162.16,180.17,183.26,183.80,0.96,0,0,3.65,15.6,82.0,2E4
61,0.000000,0.000000,0,-1.0,0.0,0,20211008,080635,82269,22.63,40.68,54.24,56.95,19.6,64.5,115.56,161.54,179.55,182.65,183.19,0.97,0,0,3.65,15.6,81.9,2E4
62,0.000000,0.000000,0,-1.0,0.0,0,20211008,080636,83342,22.54,40.57,54.12,56.82,19.6,64.5,114.95,160.81,178.80,181.90,182.44,0.97,0,0,3.65,15.6,81.9,2E4
63,0.000000,0.000000,0,-1.0,0.0,0,20211008,080637,84419,22.40,40.36,53.85,56.54,19.6,64.5,114.17,159.79,177.71,180.80,181.34,0.96,0,0,3.65,15.6,81.8,2E4
64,0.000000,0.000000,0,-1.0,0.0,0,20211008,080638,85496,22.26,40.14,53.58,56.27,19.7,64.5,113.36,158.74,176.60,179.67,180.21,0.96,0,0,3.65,15.7,81.8,2E4
65,0.000000,0.000000,0,-1.0,0.0,0,20211008,080638,86573,22.13,39.96,53.35,56.03,19.6,64.5,112.55,157.74,175.54,178.60,179.14,0.96,0,0,3.65,15.6,81.8,2E4
66,0.000000,0.000000,0,-1.0,0.0,0,20211008,080640,87646,21.89,39.61,52.94,55.60,19.7,64.4,111.12,155.93,173.63,176.68,177.21,0.97,0,0,3.66,15.7,81.8,2E4
67,0.000000,0.000000,0,-1.0,0.0,0,20211008,080641,88713,21.74,39.35,52.59,55.24,19.7,64.4,110.38,154.90,172.48,175.51,176.04,0.96,0,0,3.66,15.7,81.7,2E4
68,0.000000,0.000000,0,-1.0,0.0,0,20211008,080642,89780,21.64,39.14,52.29,54.92,19.7,64.3,109.95,154.21,171.68,174.69,175.21,0.95,0,0,3.65,15.7,81.6,2E4
69,0.000000,0.000000,0,-1.0,0.0,0,20211008,080643,90854,21.63,39.11,52.25,54.88,19.7,64.3,109.85,154.08,171.54,174.55,175.07,0.95,0,0,3.65,15.7,81.6,2E4
70,0.000000,0.000000,0,-1.0,0.0,0,20211008,080644,91931,21.66,39.20,52.39,55.03,19.7,64.2,109.95,154.30,171.82,174.84,175.36,0.96,0,0,3.66,15.7,81.5,2E4
71,0.000000,0.000000,0,-1.0,0.0,0,20211008,080645,93008,21.75,39.38,52.64,55.30,19.7,64.2,110.32,154.88,172.49,175.53,176.05,0.95,0,0,3.65,15.7,81.4,2E4
72,0.000000,0.000000,0,-1.0,0.0,0,20211008,080646,94081,21.78,39.41,52.66,55.31,19.7,64.1,110.56,155.13,172.74,175.77,176.30,0.94,0,0,3.65,15.7,81.3,2E4
73,0.000000,0.000000,0,-1.0,0.0,0,20211008,080647,95158,21.81,39.44,52.69,55.34,19.7,64.0,110.80,155.40,173.01,176.04,176.56,0.94,0,0,3.65,15.7,81.2,2E4
74,0.000000,0.000000,0,-1.0,0.0,0,20211008,080648,96235,21.83,39.45,52.70,55.35,19.7,64.0,110.95,155.57,173.16,176.19,176.72,0.95,0,0,3.65,15.7,81.2,2E4
75,0.000000,0.000000,0,-1.0,0.0,0,20211008,080650,97312,21.89,39.49,52.71,55.35,19.8,63.9,111.45,156.10,173.67,176.69,177.22,0.93,0,0,3.65,15.8,81.1,2E4
