STM32_v0.10,,,SPS30_SN:3234639E241C990E
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211026,054939,16685,10.01,10.59,10.59,10.59,22.9,36.3,68.78,79.69,79.89,79.91,79.93,0.45,0,0,4.61,18.9,45.8,90E
1,0.000000,0.000000,0,-1.0,0.0,0,20211026,054940,17761,5.32,7.50,9.01,9.32,22.9,36.2,31.96,40.19,42.32,42.69,42.75,0.62,0,0,4.61,18.9,45.7,90E
2,0.000000,0.000000,0,-1.0,0.0,0,20211026,054941,18831,5.25,6.77,7.76,7.96,22.9,36.2,33.10,40.41,41.83,42.08,42.12,0.55,0,0,4.61,18.9,45.6,90E
3,0.000000,0.000000,0,-1.0,0.0,0,20211026,054942,19902,5.24,6.47,7.23,7.38,22.9,36.1,33.73,40.65,41.76,41.96,41.99,0.54,0,0,4.61,18.9,45.6,90E
4,0.000000,0.000000,0,-1.0,0.0,0,20211026,054943,20973,5.13,5.43,5.43,5.43,22.9,36.1,35.28,40.87,40.97,40.99,40.99,0.52,0,0,4.61,18.9,45.5,90E
5,0.000000,0.000000,0,-1.0,0.0,0,20211026,054944,22043,5.32,6.19,6.64,6.73,22.9,36.1,35.15,41.68,42.39,42.51,42.54,0.55,0,0,4.61,18.9,45.5,90E
6,0.000000,0.000000,0,-1.0,0.0,0,20211026,054945,23120,5.35,5.66,5.66,5.66,22.9,36.0,36.78,42.61,42.72,42.73,42.74,0.50,0,0,4.61,18.9,45.5,90E
7,0.000000,0.000000,0,-1.0,0.0,0,20211026,054946,24189,5.52,5.84,5.84,5.84,22.9,36.0,37.93,43.94,44.05,44.07,44.07,0.51,0,0,4.61,18.9,45.4,90E
8,0.000000,0.000000,0,-1.0,0.0,0,20211026,054947,25259,5.64,5.96,5.96,5.96,22.9,36.0,38.75,44.90,45.01,45.03,45.03,0.50,0,0,4.61,18.9,45.4,90E
9,0.000000,0.000000,0,-1.0,0.0,0,20211026,054948,26336,5.82,6.15,6.15,6.15,22.9,36.0,39.98,46.32,46.43,46.45,46.46,0.52,0,0,4.61,18.9,45.4,90E
10,0.000000,0.000000,0,-1.0,0.0,0,20211026,054950,27405,5.95,6.29,6.29,6.29,22.9,36.0,40.88,47.36,47.48,47.50,47.51,0.52,0,0,4.61,18.9,45.4,90E
11,0.000000,0.000000,0,-1.0,0.0,0,20211026,054951,28475,6.10,6.45,6.45,6.45,22.9,36.0,41.90,48.55,48.67,48.68,48.69,0.51,0,0,4.61,18.9,45.4,90E
12,0.000000,0.000000,0,-1.0,0.0,0,20211026,054952,29545,6.21,6.56,6.56,6.56,22.9,36.0,42.65,49.41,49.53,49.55,49.56,0.51,0,0,4.61,18.9,45.4,90E
13,0.000000,0.000000,0,-1.0,0.0,0,20211026,054953,30612,6.43,6.80,6.80,6.80,22.9,35.9,44.19,51.19,51.32,51.34,51.35,0.51,0,0,4.61,18.9,45.3,90E
14,0.000000,0.000000,0,-1.0,0.0,0,20211026,054954,31682,6.55,6.93,6.93,6.93,22.9,36.0,45.00,52.14,52.27,52.28,52.29,0.51,0,0,4.61,18.9,45.4,90E
15,0.000000,0.000000,0,-1.0,0.0,0,20211026,054955,32752,6.66,7.04,7.04,7.04,22.9,36.0,45.77,53.02,53.16,53.18,53.19,0.50,0,0,4.61,18.9,45.4,90E
16,0.000000,0.000000,0,-1.0,0.0,0,20211026,054956,33819,6.77,7.15,7.15,7.15,22.9,35.9,46.49,53.86,54.00,54.02,54.03,0.50,0,0,4.61,18.9,45.3,90E
17,0.000000,0.000000,0,-1.0,0.0,0,20211026,054957,34889,6.86,7.26,7.26,7.26,22.9,35.9,47.17,54.65,54.79,54.80,54.82,0.50,0,0,4.61,18.9,45.3,90E
18,0.000000,0.000000,0,-1.0,0.0,0,20211026,054958,35959,6.96,7.36,7.36,7.36,22.9,35.9,47.81,55.39,55.53,55.55,55.56,0.51,0,0,4.61,18.9,45.3,90E
19,0.000000,0.000000,0,-1.0,0.0,0,20211026,054959,37029,7.03,7.44,7.44,7.44,22.9,35.9,48.32,55.98,56.12,56.14,56.15,0.50,0,0,4.61,18.9,45.3,90E
20,0.000000,0.000000,0,-1.0,0.0,0,20211026,055000,38096,7.13,7.54,7.54,7.54,23.0,35.9,49.02,56.80,56.94,56.96,56.97,0.50,0,0,4.61,19.0,45.3,90E
21,0.000000,0.000000,0,-1.0,0.0,0,20211026,055001,39166,7.27,7.69,7.69,7.69,22.9,35.9,49.96,57.89,58.03,58.05,58.06,0.49,0,0,4.61,18.9,45.2,90E
22,0.000000,0.000000,0,-1.0,0.0,0,20211026,055002,40237,7.40,7.83,7.83,7.83,22.9,35.9,50.87,58.94,59.09,59.10,59.12,0.50,0,0,4.61,18.9,45.3,90E
23,0.000000,0.000000,0,-1.0,0.0,0,20211026,055003,41308,7.52,7.96,7.96,7.96,22.9,35.9,51.70,59.90,60.05,60.07,60.08,0.50,0,0,4.61,18.9,45.2,90E
24,59.306185,18.104720,1,-1.0,33.9,5,20211026,055004,42377,7.64,8.08,8.08,8.08,22.9,35.9,52.50,60.82,60.97,60.99,61.00,0.50,0,0,4.60,18.9,45.3,90E
25,59.306185,18.104720,1,0.2,34.2,5,20211026,055005,43451,7.72,8.16,8.16,8.16,23.0,35.8,53.05,61.46,61.61,61.63,61.65,0.50,0,0,4.61,19.0,45.2,90E
26,59.306193,18.104710,1,0.9,35.2,5,20211026,055007,44524,7.79,8.24,8.24,8.24,22.9,35.8,53.52,62.01,62.17,62.19,62.20,0.50,0,0,4.61,18.9,45.2,90E
27,59.306193,18.104704,1,0.7,35.8,5,20211026,055008,45595,7.90,8.36,8.36,8.36,22.9,35.8,54.29,62.90,63.06,63.08,63.09,0.50,0,0,4.61,18.9,45.2,90E
28,59.306193,18.104700,1,0.2,36.5,5,20211026,055009,46668,7.95,8.41,8.41,8.41,22.9,35.8,54.63,63.29,63.45,63.47,63.49,0.50,0,0,4.61,18.9,45.2,90E
29,59.306201,18.104710,1,0.3,38.0,5,20211026,055010,47741,8.01,8.47,8.47,8.47,22.9,35.9,55.05,63.78,63.94,63.96,63.97,0.51,0,0,4.61,18.9,45.2,90E
30,59.306201,18.104690,1,0.3,38.0,5,20211026,055011,48814,8.06,8.52,8.52,8.52,22.9,35.8,55.35,64.13,64.29,64.31,64.33,0.50,0,0,4.61,18.9,45.2,90E
31,59.306201,18.104675,1,0.7,38.2,5,20211026,055012,49884,8.08,8.54,8.54,8.54,22.9,35.9,55.52,64.32,64.48,64.51,64.52,0.50,0,0,4.61,18.9,45.2,90E
32,59.306209,18.104663,1,0.2,38.3,5,20211026,055013,50957,8.09,8.56,8.56,8.56,22.9,35.9,55.62,64.43,64.59,64.62,64.63,0.50,0,0,4.61,18.9,45.2,90E
33,59.306209,18.104653,1,0.5,38.0,9,20211026,055014,52030,8.12,8.59,8.59,8.59,22.9,35.9,55.82,64.67,64.84,64.86,64.87,0.50,0,0,4.61,18.9,45.2,90E
34,59.306217,18.104645,1,1.1,38.3,9,20211026,055015,53101,8.20,8.67,8.67,8.67,22.9,35.8,56.34,65.27,65.43,65.45,65.47,0.50,0,0,4.61,18.9,45.2,90E
35,59.306217,18.104637,1,0.0,38.3,9,20211026,055016,54174,8.24,8.71,8.71,8.71,22.9,35.8,56.62,65.60,65.76,65.78,65.79,0.50,0,0,4.61,18.9,45.2,90E
36,59.306217,18.104628,1,0.0,38.5,9,20211026,055017,55248,8.30,8.77,8.77,8.77,22.9,35.8,57.01,66.05,66.22,66.24,66.25,0.50,0,0,4.61,18.9,45.2,90E
37,59.306226,18.104622,1,0.0,38.6,9,20211026,055018,56321,8.39,8.87,8.87,8.87,22.9,35.8,57.62,66.76,66.92,66.95,66.96,0.49,0,0,4.61,18.9,45.2,90E
38,59.306226,18.104616,1,0.0,38.7,9,20211026,055019,57392,8.49,8.97,8.97,8.97,22.9,35.8,58.31,67.56,67.73,67.75,67.76,0.49,0,0,4.61,18.9,45.1,90E
39,59.306234,18.104633,1,0.0,39.6,9,20211026,055020,58465,8.58,9.07,9.07,9.07,22.8,35.8,58.93,68.27,68.45,68.47,68.48,0.49,0,0,4.61,18.8,45.2,90E
40,59.306242,18.104706,1,8.4,40.7,9,20211026,055022,59538,8.73,9.23,9.23,9.23,22.7,35.8,59.97,69.47,69.65,69.67,69.68,0.49,0,0,4.61,18.7,45.2,90E
41,59.306250,18.104763,1,11.0,41.2,9,20211026,055023,60608,8.78,9.29,9.29,9.29,22.6,35.8,60.34,69.90,70.08,70.10,70.12,0.49,0,0,4.61,18.6,45.2,90E
42,59.306250,18.104828,1,12.0,41.6,9,20211026,055024,61682,8.88,9.39,9.39,9.39,22.6,35.9,61.02,70.70,70.88,70.90,70.91,0.49,0,0,4.61,18.6,45.3,90E
43,59.306258,18.104897,1,14.5,42.1,9,20211026,055025,62756,8.97,9.48,9.48,9.48,22.4,36.0,61.62,71.38,71.56,71.59,71.60,0.49,0,0,4.60,18.4,45.5,90E
44,59.306258,18.104970,1,14.4,42.6,9,20211026,055026,63830,9.02,9.53,9.53,9.53,22.4,36.1,61.95,71.77,71.95,71.98,71.99,0.49,0,0,4.61,18.4,45.6,90E
45,59.306258,18.105052,1,15.6,43.1,9,20211026,055027,64901,9.05,9.57,9.57,9.57,22.4,36.3,62.20,72.07,72.25,72.27,72.28,0.49,0,0,4.61,18.4,45.8,90E
46,59.306258,18.105137,1,17.1,43.8,9,20211026,055028,65975,9.11,9.63,9.63,9.63,22.4,36.4,62.60,72.53,72.71,72.74,72.75,0.49,0,0,4.61,18.4,45.9,90E
47,59.306250,18.105227,1,18.1,44.3,9,20211026,055029,67049,9.14,9.67,9.67,9.67,22.5,36.4,62.82,72.78,72.96,72.98,73.00,0.49,0,0,4.61,18.5,46.0,90E
48,59.306242,18.105318,1,18.7,45.3,9,20211026,055030,68120,9.13,9.66,9.66,9.66,22.4,36.5,62.75,72.70,72.88,72.91,72.92,0.48,0,0,4.61,18.4,46.1,90E
49,59.306242,18.105410,1,18.9,45.9,9,20211026,055031,69194,9.11,9.64,9.64,9.64,22.4,36.5,62.63,72.56,72.74,72.76,72.78,0.49,0,0,4.61,18.4,46.1,90E
50,59.306234,18.105505,1,19.1,46.4,9,20211026,055032,70268,9.11,9.63,9.63,9.63,22.4,36.6,62.59,72.51,72.69,72.72,72.73,0.49,0,0,4.60,18.4,46.2,90E
51,59.306226,18.105607,1,20.2,46.1,9,20211026,055033,71342,9.15,9.68,9.68,9.68,22.4,36.6,62.88,72.85,73.03,73.05,73.07,0.49,0,0,4.61,18.4,46.2,90E
52,59.306217,18.105709,1,21.5,47.1,9,20211026,055034,72413,9.19,9.71,9.71,9.71,22.4,36.6,63.13,73.13,73.32,73.34,73.36,0.49,0,0,4.61,18.4,46.2,90E
53,59.306217,18.105813,1,21.1,47.6,9,20211026,055035,73487,9.21,9.74,9.74,9.74,22.4,36.6,63.27,73.30,73.49,73.51,73.52,0.49,0,0,4.61,18.4,46.2,90E
54,59.306209,18.105916,1,21.3,48.2,9,20211026,055037,74561,9.21,9.74,9.74,9.74,22.4,36.7,63.31,73.35,73.54,73.56,73.57,0.49,0,0,4.61,18.4,46.3,90E
55,59.306209,18.106018,1,21.3,49.0,9,0,055038,75632,9.21,9.74,9.74,9.74,22.4,36.7,63.32,73.35,73.54,73.56,73.58,0.49,0,0,4.61,18.4,46.3,90E
56,59.306209,18.106122,1,21.7,49.8,9,20211026,055038,76699,9.20,9.73,9.73,9.73,22.4,36.7,63.20,73.22,73.41,73.43,73.44,0.49,0,0,4.61,18.4,46.3,90E
57,59.306209,18.106222,1,0.0,50.8,9,20211026,055039,77773,9.20,9.73,9.73,9.73,22.2,36.7,63.25,73.28,73.46,73.49,73.50,0.49,0,0,4.60,18.2,46.4,90E
58,59.306201,18.106321,1,20.9,51.9,9,20211026,055040,78847,9.25,9.78,9.78,9.78,22.2,36.7,63.56,73.64,73.82,73.85,73.86,0.50,0,0,4.60,18.2,46.4,90E
59,59.306201,18.106527,1,21.1,53.8,9,20211026,055042,79918,9.28,9.81,9.81,9.81,22.0,36.8,63.78,73.89,74.07,74.10,74.11,0.50,0,0,4.61,18.0,46.5,90E
60,59.306201,18.106626,1,20.9,54.6,9,20211026,055043,80992,9.29,9.82,9.82,9.82,21.7,36.9,63.83,73.95,74.14,74.16,74.17,0.50,0,0,4.61,17.7,46.6,90E
61,59.306201,18.106714,1,19.8,55.5,10,20211026,055044,82066,9.30,9.83,9.83,9.83,21.9,37.0,63.88,74.01,74.19,74.22,74.23,0.50,0,0,4.60,17.9,46.8,90E
62,59.306185,18.106797,1,16.5,54.1,10,20211026,055045,83138,9.27,9.80,9.80,9.80,21.9,37.2,63.71,73.81,74.00,74.02,74.04,0.50,0,0,4.61,17.9,47.0,90E
63,59.306152,18.106877,1,17.6,51.4,10,20211026,055046,84213,9.30,9.83,9.83,9.83,21.8,37.3,63.88,74.01,74.20,74.22,74.24,0.50,0,0,4.60,17.8,47.1,90E
64,59.306136,18.106944,1,16.6,51.1,10,20211026,055047,85288,9.32,9.86,9.86,9.86,21.7,37.4,64.07,74.23,74.42,74.44,74.46,0.50,0,0,4.61,17.7,47.2,90E
