STM32_v0.10,,,SPS30_SN:33B255BE36A68488
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20210906,143736,16722,1.04,3.64,5.71,6.12,23.4,43.3,1.01,5.41,8.10,8.56,8.64,1.63,0,0,3.65,19.4,54.6,488
1,0.000000,0.000000,0,-1.0,0.0,0,20210906,143737,17794,1.59,3.60,5.15,5.46,23.4,43.9,6.34,10.52,12.56,12.91,12.98,0.68,0,0,3.65,19.4,55.3,488
2,0.000000,0.000000,0,-1.0,0.0,0,20210906,143739,18861,1.62,3.79,5.47,5.80,23.4,44.2,6.17,10.59,12.79,13.17,13.24,1.02,0,0,3.65,19.4,55.7,488
3,0.000000,0.000000,0,-1.0,0.0,0,20210906,143740,19930,1.56,3.30,4.64,4.91,23.4,44.4,6.78,10.59,12.35,12.66,12.71,1.08,0,0,3.65,19.4,56.0,488
4,0.000000,0.000000,0,-1.0,0.0,0,20210906,143741,20999,1.60,3.54,5.04,5.35,23.4,44.7,6.53,10.64,12.62,12.96,13.02,1.13,0,0,3.65,19.4,56.4,488
5,0.000000,0.000000,0,-1.0,0.0,0,20210906,143742,22068,1.59,3.52,5.00,5.30,23.5,45.2,6.54,10.61,12.57,12.90,12.96,1.14,0,0,3.65,19.5,57.0,488
6,0.000000,0.000000,0,-1.0,0.0,0,20210906,143743,23144,1.57,3.47,4.94,5.23,23.4,45.3,6.46,10.48,12.41,12.75,12.81,1.14,0,0,3.65,19.4,57.1,488
7,0.000000,0.000000,0,-1.0,0.0,0,20210906,143744,24213,1.48,2.81,3.82,4.02,23.4,44.9,7.18,10.38,11.72,11.95,11.99,0.95,0,0,3.65,19.4,56.6,488
8,0.000000,0.000000,0,-1.0,0.0,0,20210906,143745,25282,1.46,2.77,3.76,3.96,23.4,44.4,7.08,10.24,11.55,11.78,11.82,0.95,0,0,3.65,19.4,56.0,488
9,0.000000,0.000000,0,-1.0,0.0,0,20210906,143746,26358,1.44,2.80,3.82,4.03,23.4,43.9,6.88,10.07,11.43,11.67,11.71,0.97,0,0,3.65,19.4,55.4,488
10,0.000000,0.000000,0,-1.0,0.0,0,20210906,143747,27427,1.39,2.43,3.21,3.36,23.4,43.5,7.23,9.97,11.00,11.18,11.21,0.85,0,0,3.65,19.4,54.8,488
11,0.000000,0.000000,0,-1.0,0.0,0,20210906,143748,28496,1.36,2.28,2.97,3.10,23.4,43.1,7.29,9.84,10.76,10.92,10.95,0.86,0,0,3.64,19.4,54.3,488
12,0.000000,0.000000,0,-1.0,0.0,0,20210906,143749,29565,1.34,2.20,2.84,2.97,23.4,42.7,7.30,9.76,10.61,10.76,10.78,0.89,0,0,3.65,19.4,53.9,488
13,0.000000,0.000000,0,-1.0,0.0,0,20210906,143750,30641,1.28,1.79,2.14,2.21,23.4,42.4,7.78,9.72,10.21,10.29,10.30,0.75,0,0,3.65,19.4,53.5,488
14,0.000000,0.000000,0,-1.0,0.0,0,20210906,143752,31710,1.29,1.78,2.12,2.18,23.4,42.1,7.90,9.83,10.29,10.37,10.38,0.71,0,0,3.64,19.4,53.1,488
15,0.000000,0.000000,0,-1.0,0.0,0,20210906,143753,32779,1.30,1.73,2.02,2.08,23.4,41.9,8.06,9.91,10.32,10.39,10.40,0.66,0,0,3.65,19.4,52.8,488
16,0.000000,0.000000,0,-1.0,0.0,0,20210906,143754,33848,1.29,1.72,2.01,2.07,23.4,41.9,8.04,9.89,10.29,10.36,10.37,0.66,0,0,3.65,19.4,52.8,488
17,0.000000,0.000000,0,-1.0,0.0,0,20210906,143755,34924,1.29,1.75,2.06,2.13,23.4,41.8,7.99,9.88,10.31,10.38,10.40,0.69,0,0,3.65,19.4,52.7,488
18,0.000000,0.000000,0,-1.0,0.0,0,20210906,143756,35993,1.29,1.73,2.02,2.08,23.4,41.9,8.01,9.87,10.28,10.35,10.36,0.70,0,0,3.65,19.4,52.8,488
19,0.000000,0.000000,0,-1.0,0.0,0,20210906,143757,37062,1.30,1.70,1.97,2.02,23.5,42.1,8.20,10.02,10.39,10.45,10.46,0.71,0,0,3.64,19.5,53.0,488
20,0.000000,0.000000,0,-1.0,0.0,0,20210906,143758,38139,1.32,1.73,1.99,2.05,23.5,42.2,8.30,10.15,10.53,10.59,10.60,0.72,0,0,3.64,19.5,53.2,488
21,0.000000,0.000000,0,-1.0,0.0,0,20210906,143759,39209,1.35,1.66,1.86,1.90,23.4,42.4,8.69,10.45,10.74,10.78,10.79,0.67,0,0,3.65,19.4,53.4,488
22,0.000000,0.000000,0,-1.0,0.0,0,20210906,143800,40279,1.40,1.75,1.98,2.02,23.4,42.4,8.95,10.81,11.14,11.19,11.20,0.70,0,0,3.65,19.4,53.4,488
23,0.000000,0.000000,0,-1.0,0.0,0,20210906,143801,41349,1.42,1.78,2.01,2.06,23.5,42.3,9.10,11.00,11.32,11.38,11.39,0.70,0,0,3.64,19.5,53.3,488
24,0.000000,0.000000,0,-1.0,0.0,0,20210906,143802,42426,1.43,1.78,1.99,2.04,23.5,42.0,9.20,11.08,11.39,11.45,11.46,0.68,0,0,3.64,19.5,52.9,488
25,0.000000,0.000000,0,-1.0,0.0,0,20210906,143803,43496,1.43,1.76,1.97,2.01,23.5,41.7,9.23,11.09,11.39,11.44,11.45,0.69,0,0,3.64,19.5,52.6,488
26,0.000000,0.000000,0,-1.0,0.0,0,20210906,143803,44566,1.43,1.74,1.92,1.95,23.5,41.7,9.31,11.15,11.41,11.46,11.46,0.70,0,0,3.64,19.5,52.6,488
27,0.000000,0.000000,0,-1.0,0.0,0,20210906,143805,45643,1.42,1.74,1.92,1.96,23.5,41.7,9.23,11.06,11.33,11.38,11.39,0.71,0,0,3.64,19.5,52.5,488
28,0.000000,0.000000,0,-1.0,0.0,0,20210906,143806,46713,1.41,1.71,1.90,1.93,23.5,41.7,9.13,10.94,11.21,11.25,11.26,0.72,0,0,3.64,19.5,52.6,488
29,0.000000,0.000000,0,-1.0,0.0,0,20210906,143808,47783,1.40,1.72,1.92,1.96,23.6,42.1,9.02,10.84,11.13,11.18,11.19,0.73,0,0,3.64,19.6,53.0,488
30,0.000000,0.000000,0,-1.0,0.0,0,20210906,143809,48853,1.37,1.69,1.89,1.93,23.6,42.8,8.86,10.65,10.94,10.99,11.00,0.73,0,0,3.64,19.6,53.9,488
31,0.000000,0.000000,0,-1.0,0.0,0,20210906,143810,49930,1.34,1.64,1.82,1.86,23.5,43.3,8.71,10.44,10.71,10.75,10.76,0.72,0,0,3.64,19.5,54.5,488
32,0.000000,0.000000,0,-1.0,0.0,0,20210906,143811,51000,1.32,1.60,1.76,1.79,23.6,43.0,8.59,10.27,10.51,10.55,10.56,0.71,0,0,3.65,19.6,54.2,488
33,0.000000,0.000000,0,-1.0,0.0,0,20210906,143812,52070,1.30,1.55,1.70,1.73,23.6,42.6,8.50,10.13,10.35,10.39,10.39,0.70,0,0,3.64,19.6,53.7,488
34,0.000000,0.000000,0,-1.0,0.0,0,20210906,143813,53140,1.28,1.51,1.65,1.67,23.6,42.6,8.38,9.97,10.17,10.21,10.21,0.69,0,0,3.64,19.6,53.7,488
35,0.000000,0.000000,0,-1.0,0.0,0,20210906,143814,54216,1.25,1.48,1.60,1.62,23.6,43.0,8.25,9.79,9.98,10.01,10.02,0.68,0,0,3.64,19.6,54.2,488
36,0.000000,0.000000,0,-1.0,0.0,0,20210906,143815,55284,1.24,1.45,1.57,1.59,23.6,43.2,8.19,9.71,9.88,9.91,9.92,0.68,0,0,3.64,19.6,54.4,488
37,0.000000,0.000000,0,-1.0,0.0,0,20210906,143816,56361,1.23,1.43,1.53,1.55,23.6,43.3,8.15,9.64,9.80,9.83,9.83,0.68,0,0,3.64,19.6,54.6,488
38,0.000000,0.000000,0,-1.0,0.0,0,20210906,143816,57434,1.22,1.41,1.51,1.53,23.6,43.3,8.07,9.54,9.70,9.73,9.73,0.68,0,0,3.64,19.6,54.6,488
