STM32_v0.10,,,SPS30_SN:71508A49351A556A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,0,000000,16652,1.19,4.25,6.67,7.16,25.4,40.3,1.10,6.22,9.34,9.87,9.96,1.63,0,0,3.75,21.4,50.6,56A
1,0.000000,0.000000,0,-1.0,0.0,0,0,000000,17727,2.20,7.06,10.90,11.67,25.4,38.7,3.83,12.27,17.22,18.06,18.20,1.63,0,0,3.75,21.4,48.5,56A
2,0.000000,0.000000,0,-1.0,0.0,0,0,000000,18799,2.17,6.99,10.79,11.55,25.4,37.1,3.79,12.15,17.05,17.88,18.02,1.63,0,0,3.75,21.4,46.5,56A
3,0.000000,0.000000,0,-1.0,0.0,0,0,000000,19874,2.13,6.86,10.59,11.34,25.4,35.8,3.72,11.93,16.74,17.56,17.69,1.63,0,0,3.75,21.4,44.9,56A
4,0.000000,0.000000,0,-1.0,0.0,0,0,000000,20949,2.08,6.69,10.33,11.06,25.4,34.7,3.63,11.63,16.32,17.12,17.25,1.63,0,0,3.75,21.4,43.6,56A
5,0.000000,0.000000,0,-1.0,0.0,0,0,000000,22024,2.02,6.49,10.01,10.71,25.4,33.9,3.52,11.27,15.81,16.59,16.72,1.63,0,0,3.75,21.4,42.6,56A
6,0.000000,0.000000,0,-1.0,0.0,0,0,000000,23095,1.94,6.25,9.65,10.33,25.4,33.3,3.39,10.87,15.25,16.00,16.12,1.63,0,0,3.75,21.4,41.9,56A
7,0.000000,0.000000,0,-1.0,0.0,0,0,000000,24169,1.87,6.00,9.27,9.92,25.4,32.9,3.25,10.43,14.64,15.36,15.47,1.63,0,0,3.75,21.4,41.3,56A
8,0.000000,0.000000,0,-1.0,0.0,0,0,000000,25242,1.70,5.00,7.60,8.12,25.4,32.5,4.06,10.00,13.35,13.93,14.02,1.63,0,0,3.75,21.4,40.8,56A
9,0.000000,0.000000,0,-1.0,0.0,0,0,000000,26315,1.64,4.82,7.32,7.82,25.4,32.0,3.91,9.63,12.86,13.41,13.50,1.63,0,0,3.75,21.4,40.2,56A
10,0.000000,0.000000,0,-1.0,0.0,0,0,000000,27383,1.57,4.62,7.02,7.50,25.4,31.5,3.75,9.24,12.34,12.86,12.95,1.63,0,0,3.75,21.4,39.6,56A
11,0.000000,0.000000,0,-1.0,0.0,0,0,000000,28456,1.50,4.42,6.71,7.17,25.4,31.2,3.58,8.83,11.79,12.29,12.37,1.63,0,0,3.75,21.4,39.1,56A
