STM32_v0.10,,,SPS30_SN:3C91C21B8BAF1A7A
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN,compensatedT,compensatedRH,UID
0,0.000000,0.000000,0,-1.0,0.0,0,20211011,060357,16645,17.36,22.95,26.67,27.41,17.2,51.5,108.02,132.91,138.22,139.14,139.31,0.86,0,0,3.77,13.2,65.7,A7A
1,0.000000,0.000000,0,-1.0,0.0,0,20211011,060358,17716,9.39,13.76,16.85,17.47,17.3,51.5,55.16,70.38,74.69,75.45,75.58,0.77,0,0,3.77,13.3,65.7,A7A
2,0.000000,0.000000,0,-1.0,0.0,0,20211011,060358,18787,9.39,13.44,16.29,16.86,17.2,51.5,55.95,70.76,74.73,75.43,75.55,0.75,0,0,3.77,13.2,65.7,A7A
3,0.000000,0.000000,0,-1.0,0.0,0,20211011,060359,19861,9.40,12.21,14.06,14.43,17.3,51.6,58.99,72.19,74.84,75.30,75.38,0.69,0,0,3.77,13.3,65.8,A7A
4,0.000000,0.000000,0,-1.0,0.0,0,20211011,060402,20935,9.41,11.62,12.97,13.24,17.2,51.6,60.57,72.99,74.99,75.33,75.40,0.62,0,0,3.77,13.2,65.8,A7A
5,0.000000,0.000000,0,-1.0,0.0,0,20211011,060403,22009,9.41,12.08,13.81,14.15,17.2,51.6,59.41,72.43,74.92,75.36,75.44,0.65,0,0,3.77,13.2,65.9,A7A
6,0.000000,0.000000,0,-1.0,0.0,0,20211011,060404,23079,9.39,11.78,13.27,13.57,17.2,51.6,60.03,72.67,74.85,75.22,75.29,0.64,0,0,3.77,13.2,65.9,A7A
7,0.000000,0.000000,0,-1.0,0.0,0,20211011,060405,24153,9.43,11.17,12.13,12.33,17.2,51.7,61.88,73.71,75.18,75.44,75.49,0.59,0,0,3.77,13.2,65.9,A7A
8,0.000000,0.000000,0,-1.0,0.0,0,20211011,060406,25229,9.49,11.08,11.92,12.09,17.2,51.7,62.68,74.38,75.70,75.92,75.97,0.59,0,0,3.76,13.2,65.9,A7A
9,0.000000,0.000000,0,-1.0,0.0,0,20211011,060408,26298,9.58,10.98,11.66,11.80,17.2,51.7,63.76,75.30,76.40,76.59,76.63,0.58,0,0,3.77,13.2,65.9,A7A
10,0.000000,0.000000,0,-1.0,0.0,0,20211011,060409,27372,9.63,11.01,11.67,11.81,17.2,51.7,64.19,75.75,76.83,77.01,77.05,0.57,0,0,3.77,13.2,65.9,A7A
11,0.000000,0.000000,0,-1.0,0.0,0,20211011,060410,28446,9.68,11.03,11.67,11.80,17.2,51.7,64.59,76.17,77.22,77.39,77.43,0.58,0,0,3.76,13.2,65.9,A7A
12,0.000000,0.000000,0,-1.0,0.0,0,20211011,060411,29520,9.76,10.93,11.42,11.52,17.2,51.7,65.61,77.03,77.88,78.02,78.05,0.57,0,0,3.77,13.2,65.9,A7A
13,0.000000,0.000000,0,-1.0,0.0,0,20211011,060412,30591,9.87,11.02,11.50,11.60,17.2,51.7,66.35,77.87,78.71,78.85,78.88,0.58,0,0,3.77,13.2,65.9,A7A
14,0.000000,0.000000,0,-1.0,0.0,0,20211011,060412,31665,9.89,11.04,11.51,11.60,17.2,51.7,66.50,78.03,78.86,78.99,79.03,0.59,0,0,3.77,13.2,65.9,A7A
15,0.000000,0.000000,0,-1.0,0.0,0,20211011,060413,32740,9.88,11.01,11.47,11.56,17.2,51.7,66.52,78.02,78.83,78.96,78.99,0.59,0,0,3.77,13.2,65.9,A7A
16,0.000000,0.000000,0,-1.0,0.0,0,20211011,060415,33811,9.89,11.08,11.59,11.69,17.2,51.7,66.41,78.00,78.87,79.02,79.05,0.60,0,0,3.77,13.2,65.9,A7A
17,0.000000,0.000000,0,-1.0,0.0,0,20211011,060416,34886,9.89,11.08,11.58,11.68,17.2,51.7,66.42,78.01,78.88,79.02,79.05,0.61,0,0,3.77,13.2,65.9,A7A
18,0.000000,0.000000,0,-1.0,0.0,0,20211011,060417,35961,9.90,11.04,11.51,11.60,17.2,51.7,66.61,78.14,78.96,79.10,79.13,0.60,0,0,3.77,13.2,65.9,A7A
19,0.000000,0.000000,0,-1.0,0.0,0,20211011,060418,37036,9.94,11.04,11.48,11.56,17.2,51.7,66.99,78.51,79.29,79.41,79.45,0.60,0,0,3.77,13.2,65.9,A7A
20,0.000000,0.000000,0,-1.0,0.0,0,20211011,060419,38107,9.96,11.10,11.56,11.66,17.2,51.7,67.03,78.62,79.44,79.57,79.61,0.61,0,0,3.76,13.2,65.9,A7A
21,0.000000,0.000000,0,-1.0,0.0,0,20211011,060421,39181,9.98,11.08,11.50,11.59,17.2,51.7,67.32,78.88,79.65,79.77,79.80,0.61,0,0,3.77,13.2,65.9,A7A
22,0.000000,0.000000,0,-1.0,0.0,0,20211011,060422,40255,10.00,11.10,11.53,11.62,17.1,51.8,67.41,78.99,79.76,79.89,79.92,0.61,0,0,3.77,13.1,66.0,A7A
23,0.000000,0.000000,0,-1.0,0.0,0,20211011,060423,41326,10.00,11.10,11.53,11.62,17.1,51.8,67.39,78.98,79.75,79.88,79.91,0.61,0,0,3.77,13.1,66.1,A7A
24,0.000000,0.000000,0,-1.0,0.0,0,20211011,060424,42401,9.96,11.04,11.44,11.52,17.2,51.9,67.22,78.73,79.47,79.59,79.62,0.61,0,0,3.76,13.2,66.1,A7A
25,0.000000,0.000000,0,-1.0,0.0,0,20211011,060425,43475,9.90,10.93,11.30,11.37,17.1,51.9,66.89,78.28,78.97,79.08,79.11,0.60,0,0,3.77,13.1,66.1,A7A
26,0.000000,0.000000,0,-1.0,0.0,0,20211011,060425,44550,9.77,10.70,10.99,11.05,17.2,51.9,66.23,77.35,77.94,78.03,78.06,0.59,0,0,3.76,13.2,66.2,A7A
27,0.000000,0.000000,0,-1.0,0.0,0,20211011,060426,45621,9.80,10.69,10.97,11.02,17.1,51.9,66.48,77.59,78.15,78.24,78.27,0.59,0,0,3.76,13.1,66.2,A7A
28,0.000000,0.000000,0,-1.0,0.0,0,20211011,060428,46696,9.81,10.71,10.99,11.04,17.2,51.9,66.54,77.67,78.24,78.33,78.35,0.59,0,0,3.77,13.2,66.2,A7A
29,0.000000,0.000000,0,-1.0,0.0,0,20211011,060429,47771,9.83,10.73,11.00,11.06,17.2,52.0,66.74,77.89,78.45,78.53,78.56,0.59,0,0,3.77,13.2,66.3,A7A
30,0.000000,0.000000,0,-1.0,0.0,0,20211011,060430,48842,9.88,10.75,11.00,11.04,17.1,52.0,67.13,78.29,78.82,78.90,78.93,0.59,0,0,3.76,13.1,66.3,A7A
31,0.000000,0.000000,0,-1.0,0.0,0,20211011,060431,49917,9.95,10.83,11.07,11.12,17.2,52.0,67.66,78.90,79.43,79.51,79.53,0.59,0,0,3.76,13.2,66.3,A7A
32,0.000000,0.000000,0,-1.0,0.0,0,20211011,060432,50992,10.02,10.89,11.13,11.18,17.1,52.0,68.12,79.42,79.94,80.02,80.04,0.59,0,0,3.77,13.1,66.3,A7A
33,0.000000,0.000000,0,-1.0,0.0,0,20211011,060434,52068,10.10,10.95,11.17,11.21,17.2,51.9,68.74,80.10,80.59,80.67,80.69,0.59,0,0,3.77,13.2,66.2,A7A
34,0.000000,0.000000,0,-1.0,0.0,0,20211011,060435,53140,10.17,11.02,11.24,11.28,17.1,52.0,69.20,80.63,81.12,81.20,81.23,0.59,0,0,3.77,13.1,66.3,A7A
35,0.000000,0.000000,0,-1.0,0.0,0,20211011,060436,54216,10.26,11.12,11.34,11.38,17.1,52.0,69.81,81.34,81.84,81.92,81.94,0.59,0,0,3.77,13.1,66.3,A7A
