STM32_v0.1,,,SPS30_SN:929CAFA7A7A481D6
Counter,Latitude,Longitude,gpsUpdated,Speed,Altitude,Satellites,Date,Time,Millis,PM1.0,PM2.5,PM4.0,PM10,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC4.0,NC10,TypicalParticleSize,TVOC,eCO2,BatteryVIN
0,0.000000,0.000000,0,0.0,0.0,0,0,162112,614,1.90,4.07,5.73,6.07,21.32,30.72,8.05,12.80,15.05,15.45,15.51,0.68,0,0,3.57
1,0.000000,0.000000,0,0.0,0.0,0,0,162127,16483,1.90,4.07,5.73,6.07,21.25,30.85,8.05,12.80,15.05,15.45,15.51,0.68,0,0,3.57
2,0.000000,0.000000,0,0.0,0.0,0,20210423,162127,17489,1.30,4.50,7.02,7.53,21.28,31.41,1.29,6.78,10.16,10.77,10.86,1.63,0,0,3.57
3,0.000000,0.000000,0,0.0,0.0,0,20210423,162128,18497,1.29,4.45,6.95,7.45,21.27,31.89,1.28,6.72,10.06,10.66,10.76,1.63,0,0,3.56
4,0.000000,0.000000,0,0.0,0.0,0,20210423,162129,19497,1.26,4.37,6.83,7.32,21.28,32.16,1.26,6.59,9.88,10.46,10.56,1.63,0,0,3.57
5,0.000000,0.000000,0,0.0,0.0,0,20210423,162130,20507,1.23,4.26,6.66,7.13,21.29,32.19,1.22,6.43,9.63,10.20,10.30,1.63,0,0,3.57
6,0.000000,0.000000,0,0.0,0.0,0,20210423,162131,21517,1.19,4.13,6.45,6.92,21.32,31.97,1.19,6.23,9.33,9.89,9.98,1.63,0,0,3.57
7,0.000000,0.000000,0,0.0,0.0,0,20210423,162132,22520,1.15,3.98,6.22,6.67,21.36,31.65,1.14,6.01,9.00,9.53,9.62,1.63,0,0,3.56
8,0.000000,0.000000,0,0.0,0.0,0,20210423,162133,23528,1.10,3.82,5.97,6.40,21.35,31.51,1.10,5.77,8.64,9.15,9.24,1.63,0,0,3.56
9,0.000000,0.000000,0,0.0,0.0,0,20210423,162134,24536,1.06,3.66,5.71,6.12,21.37,31.53,1.05,5.52,8.26,8.75,8.83,1.63,0,0,3.56
10,0.000000,0.000000,0,0.0,0.0,0,20210423,162135,25544,0.71,1.23,1.62,1.70,21.36,31.45,3.69,5.09,5.62,5.71,5.73,0.53,0,0,3.56
11,0.000000,0.000000,0,0.0,0.0,0,20210423,162136,26548,0.69,1.10,1.41,1.47,21.39,31.50,3.80,5.04,5.46,5.53,5.54,0.56,0,0,3.57
12,0.000000,0.000000,0,0.0,0.0,0,20210423,162137,27556,0.68,1.09,1.39,1.45,21.42,31.59,3.74,4.97,5.38,5.45,5.46,0.56,0,0,3.56
13,0.000000,0.000000,0,0.0,0.0,0,20210423,162138,28565,0.66,1.06,1.36,1.42,21.42,31.54,3.66,4.86,5.26,5.33,5.34,0.56,0,0,3.56
14,0.000000,0.000000,0,0.0,0.0,0,20210423,162139,29574,0.64,1.03,1.32,1.38,21.41,31.40,3.56,4.72,5.11,5.18,5.19,0.56,0,0,3.57
