Session Id,Timestamp,Period,Station,Sensors,Number,Size,LDSA,Filter,Diff,Date,Clock Time,Time
20210924-1,2021-09-24 10:17:45,Offtime,Gamla Stan,DiSC,2988.114285714286,28.12,4.372285714285714,2.632285714285714,2.571714285714286,2021-09-24,10:17:45,2364.5
20210924-1,2021-09-24 09:42:55,Offtime,Gullmarsplan,DiSC,1405.24,28.01,2.0266,1.2118,1.2014,2021-09-24,09:42:55,269.5
20210924-1,2021-09-24 10:34:25,Offtime,Hötorget,DiSC,2498.5588235294117,52.66764705882353,7.366470588235295,6.015294117647059,2.749705882352941,2021-09-24,10:34:25,3359.5
20210924-1,2021-09-24 10:01:15,Offtime,Medborgarplatsen,DiSC,3236.9210526315787,39.66052631578947,6.966052631578947,5.057631578947368,3.23078947368421,2021-09-24,10:01:15,1369.5
20210924-1,2021-09-24 10:49:35,Offtime,Odenplan,DiSC,2158.3076923076924,58.58461538461539,7.178461538461539,6.0746153846153845,2.465384615384615,2021-09-24,10:49:35,4274.5
20210924-1,2021-09-24 10:42:35,Offtime,Rådmansgatan,DiSC,2501.5128205128203,53.210256410256406,7.477948717948718,6.131538461538462,2.7664102564102566,2021-09-24,10:42:35,3854.5
20210924-1,2021-09-24 09:53:25,Offtime,Skanstull,DiSC,4760.6551724137935,55.38965517241379,14.90448275862069,12.387241379310346,5.336896551724139,2021-09-24,09:53:25,904.5
20210924-1,2021-09-24 10:09:25,Offtime,Slussen,DiSC,3543.4848484848485,39.696969696969695,7.652424242424242,5.563939393939394,3.542121212121212,2021-09-24,10:09:25,1864.5
20210924-1,2021-09-24 10:26:35,Offtime,T-Centralen,DiSC,2663.516129032258,54.354838709677416,8.204516129032259,6.790322580645161,2.972258064516129,2021-09-24,10:26:35,2894.5
20210927-1,2021-09-27 07:29:33,Morning rush,Gamla Stan,DiSC,4459.0,43.71666666666667,10.723333333333334,8.143333333333333,4.614999999999999,2021-09-27,07:29:33,1499.5
20210927-1,2021-09-27 07:12:13,Morning rush,Gullmarsplan,DiSC,8126.8,31.32,13.492,8.67,7.384,2021-09-27,07:12:13,464.5
20210927-1,2021-09-27 07:38:53,Morning rush,Hötorget,DiSC,2708.8,55.61,8.386,6.953,3.023,2021-09-27,07:38:53,2059.5
20210927-1,2021-09-27 07:21:33,Morning rush,Medborgarplatsen,DiSC,4767.823529411765,56.72941176470588,15.312941176470588,12.824117647058824,5.388235294117647,2021-09-27,07:21:33,1024.5
20210927-1,2021-09-27 08:05:43,Morning rush,Odenplan,DiSC,4632.335294117647,49.54823529411765,12.745176470588234,10.166,4.993764705882353,2021-09-27,08:05:43,3641.970588235294
20210927-1,2021-09-27 07:42:53,Morning rush,Rådmansgatan,DiSC,6244.1,44.910000000000004,15.422999999999998,11.831999999999999,6.51,2021-09-27,07:42:53,2299.5
20210927-1,2021-09-27 07:16:53,Morning rush,Skanstull,DiSC,4789.222222222223,53.43333333333333,14.426666666666668,11.852222222222222,5.306666666666667,2021-09-27,07:16:53,744.5
20210927-1,2021-09-27 07:25:43,Morning rush,Slussen,DiSC,4441.666666666667,51.699999999999996,12.87,10.441666666666666,4.865,2021-09-27,07:25:43,1269.5
20210927-1,2021-09-27 07:34:33,Morning rush,T-Centralen,DiSC,2912.3,53.89,8.829,7.269,3.232,2021-09-27,07:34:33,1799.5
20210927-2,2021-09-27 18:15:08,Offtime,Abrahamsberg,DiSC,3250.0,46.300000000000004,8.324285714285715,6.474285714285714,3.4299999999999997,2021-09-27,18:15:08,2774.5
20210927-2,2021-09-27 18:07:08,Offtime,Alvik,DiSC,2679.714285714286,50.614285714285714,7.54,6.062857142857142,2.9071428571428575,2021-09-27,18:07:08,2294.5
20210927-2,2021-09-27 18:19:08,Offtime,Brommaplan,DiSC,2562.714285714286,53.271428571428565,7.67,6.288571428571429,2.835714285714286,2021-09-27,18:19:08,3014.5
20210927-2,2021-09-27 17:56:18,Evening rush,Fridhemsplan,DiSC,3648.4,45.760000000000005,9.205,7.122,3.8299999999999996,2021-09-27,17:56:18,1639.5
