Time,Number,Size,LDSA,Filter,Diff,Timestamp,Station,Date,Sensor,Session Id
494.5,2704,"66,6","10,38","9,11","3,24",2021-09-30 16:17:18,Hötorget,2021-09-30,DiSC,20210930-2
504.5,2577,"67,9","10,1","8,91","3,11",2021-09-30 16:17:28,Hötorget,2021-09-30,DiSC,20210930-2
514.5,2672,"66,6","10,25","8,99","3,2",2021-09-30 16:17:38,Hötorget,2021-09-30,DiSC,20210930-2
524.5,2772,66,"10,54","9,23","3,31",2021-09-30 16:17:48,Hötorget,2021-09-30,DiSC,20210930-2
534.5,2623,"68,3","10,35","9,14","3,17",2021-09-30 16:17:58,Hötorget,2021-09-30,DiSC,20210930-2
544.5,2579,"69,2","10,33","9,15","3,13",2021-09-30 16:18:08,Hötorget,2021-09-30,DiSC,20210930-2
554.5,2541,"70,2","10,34","9,2","3,1",2021-09-30 16:18:18,Hötorget,2021-09-30,DiSC,20210930-2
94.5,3089,67,"11,94","10,5","3,71",2021-09-30 16:10:38,Rådmansgatan,2021-09-30,DiSC,20210930-2
104.5,3149,"64,4","11,65","10,13","3,72",2021-09-30 16:10:48,Rådmansgatan,2021-09-30,DiSC,20210930-2
114.5,3213,"63,5","11,69","10,12","3,78",2021-09-30 16:10:58,Rådmansgatan,2021-09-30,DiSC,20210930-2
124.5,2980,"67,7","11,65","10,27","3,59",2021-09-30 16:11:08,Rådmansgatan,2021-09-30,DiSC,20210930-2
134.5,3148,"65,6","11,88","10,39","3,75",2021-09-30 16:11:18,Rådmansgatan,2021-09-30,DiSC,20210930-2
144.5,3281,"64,1","12,08","10,49","3,87",2021-09-30 16:11:28,Rådmansgatan,2021-09-30,DiSC,20210930-2
154.5,3239,"64,7","12,05","10,5","3,84",2021-09-30 16:11:38,Rådmansgatan,2021-09-30,DiSC,20210930-2
164.5,3146,"65,7","11,9","10,41","3,75",2021-09-30 16:11:48,Rådmansgatan,2021-09-30,DiSC,20210930-2
174.5,3055,"66,3","11,67","10,23","3,65",2021-09-30 16:11:58,Rådmansgatan,2021-09-30,DiSC,20210930-2
184.5,3020,"66,2","11,51","10,09","3,61",2021-09-30 16:12:08,Rådmansgatan,2021-09-30,DiSC,20210930-2
194.5,3071,"66,6","11,79","10,35","3,68",2021-09-30 16:12:18,Rådmansgatan,2021-09-30,DiSC,20210930-2
204.5,3296,"63,2","11,93","10,32","3,87",2021-09-30 16:12:28,Rådmansgatan,2021-09-30,DiSC,20210930-2
214.5,3190,"64,5","11,81","10,28","3,77",2021-09-30 16:12:38,Rådmansgatan,2021-09-30,DiSC,20210930-2
224.5,3234,"62,4","11,55","9,96","3,78",2021-09-30 16:12:48,Rådmansgatan,2021-09-30,DiSC,20210930-2
234.5,3061,"66,7","11,77","10,34","3,67",2021-09-30 16:12:58,Rådmansgatan,2021-09-30,DiSC,20210930-2
244.5,3002,"68,3","11,85","10,47","3,63",2021-09-30 16:13:08,Rådmansgatan,2021-09-30,DiSC,20210930-2
254.5,3157,"65,5","11,9","10,4","3,76",2021-09-30 16:13:18,Rådmansgatan,2021-09-30,DiSC,20210930-2
264.5,3033,"66,4","11,59","10,17","3,62",2021-09-30 16:13:28,Rådmansgatan,2021-09-30,DiSC,20210930-2
274.5,3110,"65,2","11,66","10,17","3,69",2021-09-30 16:13:38,Rådmansgatan,2021-09-30,DiSC,20210930-2
284.5,3376,"66,7","12,98","11,4","4,04",2021-09-30 16:13:48,Rådmansgatan,2021-09-30,DiSC,20210930-2
294.5,3500,"66,3","13,36","11,71","4,18",2021-09-30 16:13:58,Rådmansgatan,2021-09-30,DiSC,20210930-2
304.5,3805,"67,4","14,8","13,03","4,57",2021-09-30 16:14:08,Rådmansgatan,2021-09-30,DiSC,20210930-2
314.5,3824,"69,1","15,3","13,55","4,64",2021-09-30 16:14:18,Rådmansgatan,2021-09-30,DiSC,20210930-2
724.5,2431,"76,4","10,87","9,85","3,07",2021-09-30 16:21:08,T-Centralen,2021-09-30,DiSC,20210930-2
734.5,2608,"71,3","10,8","9,64","3,2",2021-09-30 16:21:18,T-Centralen,2021-09-30,DiSC,20210930-2
744.5,2883,65,"10,77","9,39","3,42",2021-09-30 16:21:28,T-Centralen,2021-09-30,DiSC,20210930-2
754.5,2740,"67,1","10,61","9,33","3,29",2021-09-30 16:21:38,T-Centralen,2021-09-30,DiSC,20210930-2
764.5,2541,"70,5","10,38","9,25","3,11",2021-09-30 16:21:48,T-Centralen,2021-09-30,DiSC,20210930-2
774.5,2613,"68,4","10,32","9,12","3,16",2021-09-30 16:21:58,T-Centralen,2021-09-30,DiSC,20210930-2
784.5,2918,"61,3","10,22","8,77","3,39",2021-09-30 16:22:08,T-Centralen,2021-09-30,DiSC,20210930-2
794.5,2925,"61,2","10,23","8,78","3,4",2021-09-30 16:22:18,T-Centralen,2021-09-30,DiSC,20210930-2
804.5,2710,"65,1","10,13","8,84","3,21",2021-09-30 16:22:28,T-Centralen,2021-09-30,DiSC,20210930-2
134.5,4855,"39,5","10,44","7,58","4,85",2021-09-30 17:06:26,Gamla Stan,2021-09-30,DiSC,20210930-3
144.5,5020,"37,9","10,29","7,31","4,93",2021-09-30 17:06:36,Gamla Stan,2021-09-30,DiSC,20210930-3
154.5,5267,"37,2","10,6","7,47","5,14",2021-09-30 17:06:46,Gamla Stan,2021-09-30,DiSC,20210930-3
164.5,5783,"34,9","10,85","7,4","5,5",2021-09-30 17:06:56,Gamla Stan,2021-09-30,DiSC,20210930-3
174.5,5614,"35,9","10,84","7,5","5,4",2021-09-30 17:07:06,Gamla Stan,2021-09-30,DiSC,20210930-3
184.5,5579,36,"10,8","7,48","5,37",2021-09-30 17:07:16,Gamla Stan,2021-09-30,DiSC,20210930-3
194.5,5759,"35,4","10,95","7,52","5,51",2021-09-30 17:07:26,Gamla Stan,2021-09-30,DiSC,20210930-3
204.5,5770,35,"10,85","7,41","5,5",2021-09-30 17:07:36,Gamla Stan,2021-09-30,DiSC,20210930-3
214.5,5285,37,"10,55","7,41","5,14",2021-09-30 17:07:46,Gamla Stan,2021-09-30,DiSC,20210930-3
224.5,4442,"39,7","9,59","6,97","4,44",2021-09-30 17:07:56,Gamla Stan,2021-09-30,DiSC,20210930-3
234.5,3516,"44,9","8,71","6,69","3,67",2021-09-30 17:08:06,Gamla Stan,2021-09-30,DiSC,20210930-3
244.5,3316,47,"8,65","6,78","3,52",2021-09-30 17:08:16,Gamla Stan,2021-09-30,DiSC,20210930-3
254.5,3208,"47,8","8,52","6,72","3,42",2021-09-30 17:08:26,Gamla Stan,2021-09-30,DiSC,20210930-3
264.5,3159,"48,9","8,6","6,83","3,4",2021-09-30 17:08:36,Gamla Stan,2021-09-30,DiSC,20210930-3
274.5,3219,"47,9","8,56","6,75","3,44",2021-09-30 17:08:46,Gamla Stan,2021-09-30,DiSC,20210930-3
284.5,3396,"46,5","8,76","6,83","3,59",2021-09-30 17:08:56,Gamla Stan,2021-09-30,DiSC,20210930-3
294.5,4261,42,"9,81","7,32","4,35",2021-09-30 17:09:06,Gamla Stan,2021-09-30,DiSC,20210930-3
304.5,4383,"40,8","9,76","7,18","4,43",2021-09-30 17:09:16,Gamla Stan,2021-09-30,DiSC,20210930-3
314.5,5540,36,"10,74","7,44","5,34",2021-09-30 17:09:26,Gamla Stan,2021-09-30,DiSC,20210930-3
324.5,5966,"34,6","11,08","7,52","5,66",2021-09-30 17:09:36,Gamla Stan,2021-09-30,DiSC,20210930-3
334.5,5433,"36,3","10,64","7,41","5,25",2021-09-30 17:09:46,Gamla Stan,2021-09-30,DiSC,20210930-3
344.5,5242,"37,8","10,72","7,61","5,14",2021-09-30 17:09:56,Gamla Stan,2021-09-30,DiSC,20210930-3
354.5,6016,"34,6","11,16","7,58","5,7",2021-09-30 17:10:06,Gamla Stan,2021-09-30,DiSC,20210930-3
364.5,6729,"32,9","11,8","7,79","6,25",2021-09-30 17:10:16,Gamla Stan,2021-09-30,DiSC,20210930-3
374.5,6558,"33,1","11,59","7,68","6,1",2021-09-30 17:10:26,Gamla Stan,2021-09-30,DiSC,20210930-3
384.5,7011,"32,1","11,98","7,81","6,44",2021-09-30 17:10:36,Gamla Stan,2021-09-30,DiSC,20210930-3
394.5,7227,"31,6","12,11","7,81","6,59",2021-09-30 17:10:46,Gamla Stan,2021-09-30,DiSC,20210930-3
404.5,7065,"32,1","12,06","7,86","6,49",2021-09-30 17:10:56,Gamla Stan,2021-09-30,DiSC,20210930-3
1254.5,3486,"43,2","8,27","6,25","3,59",2021-09-30 17:25:06,Gullmarsplan,2021-09-30,DiSC,20210930-3
1264.5,2763,"50,5","7,81","6,28",3,2021-09-30 17:25:16,Gullmarsplan,2021-09-30,DiSC,20210930-3
1274.5,2675,"54,8","8,28","6,86","2,99",2021-09-30 17:25:26,Gullmarsplan,2021-09-30,DiSC,20210930-3
1284.5,2705,"55,7","8,52","7,1","3,04",2021-09-30 17:25:36,Gullmarsplan,2021-09-30,DiSC,20210930-3
1294.5,2690,"54,6","8,28","6,85",3,2021-09-30 17:25:46,Gullmarsplan,2021-09-30,DiSC,20210930-3
1304.5,2602,"54,1","7,92","6,53","2,89",2021-09-30 17:25:56,Gullmarsplan,2021-09-30,DiSC,20210930-3
1314.5,3027,47,"7,9","6,18","3,21",2021-09-30 17:26:06,Gullmarsplan,2021-09-30,DiSC,20210930-3
1324.5,2828,"48,6","7,66","6,08","3,04",2021-09-30 17:26:16,Gullmarsplan,2021-09-30,DiSC,20210930-3
1334.5,2784,"48,9","7,59","6,03","2,99",2021-09-30 17:26:26,Gullmarsplan,2021-09-30,DiSC,20210930-3
1344.5,2346,"54,9","7,27","6,03","2,62",2021-09-30 17:26:36,Gullmarsplan,2021-09-30,DiSC,20210930-3
1354.5,2014,"60,4","6,94","5,93","2,33",2021-09-30 17:26:46,Gullmarsplan,2021-09-30,DiSC,20210930-3
1364.5,1884,"66,1","7,17","6,28","2,25",2021-09-30 17:26:56,Gullmarsplan,2021-09-30,DiSC,20210930-3
1374.5,1704,"71,1","7,03","6,28","2,09",2021-09-30 17:27:06,Gullmarsplan,2021-09-30,DiSC,20210930-3
1384.5,1529,"76,9","6,89","6,26","1,94",2021-09-30 17:27:16,Gullmarsplan,2021-09-30,DiSC,20210930-3
1394.5,1700,"74,2","7,36","6,63","2,12",2021-09-30 17:27:26,Gullmarsplan,2021-09-30,DiSC,20210930-3
1404.5,1898,"68,5","7,52","6,65","2,3",2021-09-30 17:27:36,Gullmarsplan,2021-09-30,DiSC,20210930-3
1414.5,1671,"71,6","6,95","6,21","2,06",2021-09-30 17:27:46,Gullmarsplan,2021-09-30,DiSC,20210930-3
1424.5,1945,"71,2","8,04","7,18","2,39",2021-09-30 17:27:56,Gullmarsplan,2021-09-30,DiSC,20210930-3
724.5,3331,66,"12,65","11,07","3,97",2021-09-30 17:16:16,Medborgarplatsen,2021-09-30,DiSC,20210930-3
734.5,3425,"63,5","12,47","10,8","4,03",2021-09-30 17:16:26,Medborgarplatsen,2021-09-30,DiSC,20210930-3
744.5,3283,"64,2","12,11","10,52","3,88",2021-09-30 17:16:36,Medborgarplatsen,2021-09-30,DiSC,20210930-3
754.5,3372,"61,5","11,85","10,18","3,92",2021-09-30 17:16:46,Medborgarplatsen,2021-09-30,DiSC,20210930-3
764.5,3513,"60,4","12,1","10,33","4,06",2021-09-30 17:16:56,Medborgarplatsen,2021-09-30,DiSC,20210930-3
774.5,3531,"62,4","12,61","10,87","4,13",2021-09-30 17:17:06,Medborgarplatsen,2021-09-30,DiSC,20210930-3
784.5,3525,"62,5","12,61","10,87","4,12",2021-09-30 17:17:16,Medborgarplatsen,2021-09-30,DiSC,20210930-3
794.5,3490,"62,5","12,49","10,77","4,08",2021-09-30 17:17:26,Medborgarplatsen,2021-09-30,DiSC,20210930-3
944.5,4819,"67,6","18,8","16,56","5,8",2021-09-30 17:19:56,Skanstull,2021-09-30,DiSC,20210930-3
954.5,6262,"66,3","23,91","20,93","7,48",2021-09-30 17:20:06,Skanstull,2021-09-30,DiSC,20210930-3
964.5,5537,"68,4","21,9","19,33","6,69",2021-09-30 17:20:16,Skanstull,2021-09-30,DiSC,20210930-3
974.5,5081,"69,7","20,5","18,18","6,18",2021-09-30 17:20:26,Skanstull,2021-09-30,DiSC,20210930-3
984.5,4737,"69,6","19,09","16,93","5,76",2021-09-30 17:20:36,Skanstull,2021-09-30,DiSC,20210930-3
994.5,4777,"70,3","19,48","17,32","5,84",2021-09-30 17:20:46,Skanstull,2021-09-30,DiSC,20210930-3
1004.5,5056,"66,5","19,36","16,97","6,04",2021-09-30 17:20:56,Skanstull,2021-09-30,DiSC,20210930-3
1014.5,4694,"70,6","19,22","17,11","5,74",2021-09-30 17:21:06,Skanstull,2021-09-30,DiSC,20210930-3
