,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,order index
,mean,median,mode,min,max,x_range,sample_std,CI95,CV,standard_error,
Station,,,,,,,,,,,
Abrahamsberg,2763.4285714285716,2173.0,11.0,11.0,5978.0,5967.0,2007.0986404212806,1486.8794806125568,0.7263074071003394,758.6119799043657,4
Alvik,6610.428571428572,4321.5,11.0,11.0,40684.0,40673.0,10012.678460633995,5244.961725307293,1.5146791698061064,2676.000880258823,6
Angbyplan,2206.0,2206.0,2206.0,2206.0,2206.0,0.0,,,,,1
Brommaplan,2430.714285714286,2244.0,11.0,11.0,5503.0,5492.0,1631.0651646787662,1208.3099834065758,0.6710229887012261,616.4846854115183,3
Fridhemsplan,2950.714285714286,3265.5,11.0,11.0,4263.0,4252.0,1074.881419475686,563.0573204322164,0.36427837987556533,287.27414307766145,9
Gamla Stan,4401.818181818182,3887.0,2963.0,2963.0,7616.0,4653.0,1437.4221939417673,849.4622329057503,0.32655192344815037,433.3990984213012,15
Gullmarsplan,5327.0,4476.5,1218.0,1218.0,9181.0,7963.0,2730.0205127434483,1692.084244333006,0.5124874249565324,863.308287925003,19
Hötorget,3083.1666666666665,2995.5,2233.0,2233.0,4411.0,2178.0,635.5203785207453,359.5795043821563,0.20612585929641994,183.4589308072226,13
Islandstorget,2279.0,2279.0,2059.0,2059.0,2499.0,440.0,311.1269837220809,431.2,0.13651908017642866,220.0,0
Kristineberg,10596.57142857143,5804.0,11.0,11.0,28304.0,28293.0,8911.079859575733,4667.909089299966,0.8409399134090558,2381.586270051003,7
Medborgarplatsen,4203.818181818182,4391.0,2457.0,2457.0,6174.0,3717.0,1114.580981192647,658.6752681491881,0.26513539191901553,336.05881028019803,17
Odenplan,3842.4210526315787,3852.0,2115.0,2115.0,6397.0,4282.0,980.3686560444423,440.8275095926589,0.25514347402740056,224.91199469013208,11
Rådmansgatan,4415.0,4207.5,2448.0,2448.0,6938.0,4490.0,1286.8535270185182,728.1059256271257,0.29147305255232575,371.48261511588044,12
Skanstull,7246.818181818182,4986.0,4149.0,4149.0,24044.0,19895.0,5763.38667483246,3405.9438726745902,0.7952989201926496,1737.7264656503012,18
Slussen,4708.25,4567.5,2458.0,2458.0,7208.0,4750.0,1294.197829826365,732.2613561261837,0.2748787404718027,373.6027327174407,16
St Eriksplan,3812.3571428571427,3861.0,11.0,11.0,8602.0,8591.0,1822.862904973841,954.8739834860208,0.4781458915487939,487.1806038193984,10
Stora mossen,2544.0,2485.0,11.0,11.0,5828.0,5817.0,1748.7626101522947,1295.5014711943275,0.687406686380619,660.9701383644527,5
T-Centralen,3562.5833333333335,3296.5,2132.0,2132.0,5751.0,3619.0,1158.3851972256532,655.4181253346385,0.32515315119430743,334.39700272175435,14
Thorildsplan,6124.333333333333,5146.5,11.0,11.0,15278.0,15267.0,4518.9601042986005,2556.842376020497,0.7378697171336093,1304.5114163369883,8
Åkeshov,2271.1666666666665,2055.5,11.0,11.0,4937.0,4926.0,1594.8799850354467,1276.1697736760752,0.7022293909307024,651.1070273857526,2
