,Size,Size,Size,Size,Size,Size,Size,Size,Size,Size,order index
,mean,median,mode,min,max,x_range,sample_std,CI95,CV,standard_error,
Station,,,,,,,,,,,
Abrahamsberg,49.23949579831933,49.15,0.0,0.0,88.74444444444445,88.74444444444445,27.691465841973542,20.51412497587651,0.5623832127647156,10.466390293814547,4
Alvik,43.83645314063546,48.7265873015873,0.0,0.0,65.8125,65.8125,17.759478180752552,9.30298358083688,0.4051303631654882,4.74642019430453,6
Angbyplan,61.7,61.7,61.7,61.7,61.7,0.0,,,,,1
Brommaplan,48.81667538810395,49.8,0.0,0.0,85.32307692307693,85.32307692307693,26.8549705960899,19.894440625697644,0.5501187940921134,10.15022480902941,3
Fridhemsplan,53.753302154195005,55.16666666666667,0.0,0.0,80.29166666666667,80.29166666666667,18.393282825637893,9.63499075721984,0.34217958876043575,4.91581161082645,9
Gamla Stan,49.083716737807656,50.125,28.12,28.12,64.8,36.67999999999999,11.225088513538418,6.633603400213902,0.22869271643587827,3.3844915307213785,15
Gullmarsplan,42.411835978835974,42.8,28.01,28.01,59.57222222222222,31.56222222222222,10.28008201774823,6.371660847047084,0.2423871021023027,3.25084737094239,19
Hötorget,61.525327310217016,60.37777777777778,52.66764705882353,52.66764705882353,72.36666666666666,19.699019607843127,7.168461826179995,4.055939097720165,0.11651237205185232,2.0693566825102883,13
Islandstorget,50.81923076923077,50.81923076923077,46.7,46.7,54.93846153846154,8.238461538461536,5.825472020390709,8.073692307692305,0.11463125144188181,4.119230769230768,0
Kristineberg,40.355782312925164,42.90809523809524,0.0,0.0,61.51666666666667,61.51666666666667,16.296750333496224,8.536759877203156,0.40382689665457666,4.355489733266917,7
Medborgarplatsen,57.72051422891528,56.72941176470588,39.66052631578947,39.66052631578947,71.48181818181818,31.821291866028716,8.617278715520026,5.092486292550862,0.14929317298429703,2.598207292117787,17
Odenplan,57.87317048177538,57.18571428571429,48.8020618556701,48.8020618556701,71.7,22.897938144329906,6.720094116461564,3.021722833878257,0.11611760787458093,1.541695323407274,11
Rådmansgatan,56.55184888782714,54.82,44.91,44.91,67.575,22.665000000000006,6.597693767791476,3.7329966674078228,0.11666627877858186,1.9045901364325626,12
Skanstull,55.872643653803536,55.16666666666666,40.44,40.44,70.12222222222222,29.682222222222222,9.234240255090855,5.457087263114447,0.16527301468510763,2.7842281954665546,18
Slussen,52.13814228255405,53.19166666666666,39.696969696969695,39.696969696969695,64.97692307692307,25.279953379953376,7.479502242255739,4.231926780311346,0.14345548028393135,2.1591463164853804,16
St Eriksplan,53.488494897959185,56.552083333333336,0.0,0.0,77.88571428571429,77.88571428571429,17.451107493353902,9.14144913638512,0.32625908668108244,4.66400466142098,10
Stora mossen,46.820106679035256,44.7375,0.0,0.0,83.16666666666667,83.16666666666667,25.588920574930217,18.956537644757802,0.5465369985239317,9.67170287997847,5
T-Centralen,58.56219916135239,56.20811688311689,50.76666666666667,50.76666666666667,70.925,20.158333333333324,6.525005892034906,3.6918696300656424,0.11142009667459733,1.8836069541151237,14
Thorildsplan,41.35881666264019,45.65,0.0,0.0,60.8111111111111,60.8111111111111,16.266686680732693,9.203744415265435,0.39330638527253964,4.69578796697216,8
Åkeshov,48.76964932712215,51.96071428571429,0.0,0.0,82.56521739130434,82.56521739130434,28.554163079595952,22.848088995227947,0.5854904325448202,11.657188262871403,2
