station,mean,median,sample_std,CI95,outliers,count,order
Islandstorget,2090.4615384615386,2090.4615384615386,44.4933343854306,61.66461538461558,0.0,2.0,Islandstorget
Angbyplan,2292.0,2292.0,,,0.0,1.0,Angbyplan
Åkeshov,2692.5034161490685,2051.75,1308.1432921452508,1146.6381516144818,1.0,5.0,Åkeshov
Brommaplan,2752.618411680912,2257.871031746032,1406.9509736335408,1125.7952463146269,1.0,6.0,Brommaplan
Abrahamsberg,2966.285403050109,2596.722222222222,1678.8296016879,1343.343457143658,1.0,6.0,Abrahamsberg
Stora mossen,3210.628968253968,2707.1666666666665,1420.7478774232811,1136.8350685909045,1.0,6.0,Stora mossen
Alvik,4331.481751253133,4257.56015037594,1823.6586503209885,1031.8320164193565,0.0,12.0,Alvik
Kristineberg,10473.270105820106,6125.671428571428,8134.839467154552,4602.718721052552,0.0,12.0,Kristineberg
Thorildsplan,5797.754053136405,4877.549999999999,3303.720318604081,2047.667067957345,0.0,10.0,Thorildsplan
Fridhemsplan,3053.771097883598,3046.325,731.6503637789331,413.9701637908456,0.0,12.0,Fridhemsplan
St Eriksplan,4043.402666777667,3782.215909090909,1504.0034680486292,850.9700709972067,1.0,12.0,St Eriksplan
Odenplan,3917.315027945578,3915.33203125,1026.4085575824145,474.1765615384931,1.0,18.0,Odenplan
Rådmansgatan,4326.794861177471,4250.15,1169.9743423717712,661.9753014830314,0.0,12.0,Rådmansgatan
Hötorget,3033.4335816144635,2945.525,609.4178554146357,344.8106116151523,0.0,12.0,Hötorget
T-Centralen,3474.405612965289,3180.721428571429,814.242401085068,460.7010080630298,0.0,12.0,T-Centralen
Gamla Stan,4660.625795083053,4345.25,1479.3641087200815,916.9193741630422,0.0,10.0,Gamla Stan
Slussen,4908.356380547557,4646.0,1072.8761448411835,634.0292848330864,2.0,11.0,Slussen
Medborgarplatsen,4379.148662523743,4342.970588235295,1037.2671493696143,642.9048398793014,0.0,10.0,Medborgarplatsen
Skanstull,5763.703828929692,5266.714285714286,1527.47234879312,946.7371702822276,1.0,10.0,Skanstull
Gullmarsplan,5814.44445710668,4246.0,3329.026090129428,2174.9637122178924,0.0,9.0,Gullmarsplan
