,DiSC
Islandstorget,473.6315858564324
Angbyplan,166.94789606341254
Åkeshov,610.8817836144016
Brommaplan,1048.3812701913835
Abrahamsberg,1995.9671033504865
Stora mossen,1793.962090410378
Alvik,1744.0001853247318
Kristineberg,7888.484857647331
Thorildsplan,3198.6666878258334
Fridhemsplan,702.773706712809
St Eriksplan,1130.4648722713735
Odenplan,1046.4866201518164
Rådmansgatan,1190.3663652526916
Hötorget,614.6931427155281
T-Centralen,775.8454520862231
Gamla Stan,1370.056139326196
Slussen,1091.7651400733425
Medborgarplatsen,1130.7390102999507
Skanstull,1489.9478784665966
Gullmarsplan,3274.4671716172315
Avg,1636.9264479629076
