,station,mean sensor std,order
0,Gamla Stan,380.96305782485587,15
1,Gullmarsplan,784.8215656844719,19
2,Hötorget,223.79519716889044,13
3,Medborgarplatsen,170.61687514964768,17
4,Odenplan,397.7353666657359,11
5,Rådmansgatan,269.2214766896064,12
6,Skanstull,431.70769393839464,18
7,Slussen,338.12373112661675,16
8,T-Centralen,301.8533421683698,14
9,Abrahamsberg,380.1168685760256,4
10,Alvik,525.4476672123164,6
11,Brommaplan,105.0351054534667,3
12,Fridhemsplan,165.4703601682521,9
13,Islandstorget,492.66054262180387,0
14,Kristineberg,3323.150684400252,7
15,St Eriksplan,185.29467483002318,10
16,Stora mossen,888.1808519834913,5
17,Thorildsplan,857.5117966371511,8
18,Åkeshov,346.4229824669008,2
19,Angbyplan,166.94789606341254,1
