,Number,Number,Number,Number,Number,Number,Number,Number,Number
,Q1,Q2,Q3,IQR,lowerLimit,upperLimit,outliers,prcnt_outliers,count
Station,,,,,,,,,
Abrahamsberg,1983.25,2596.722222222222,3210.8611111111113,1227.6111111111113,141.83333333333303,5052.277777777778,1.0,16.666666666666664,6
Alvik,2702.0535714285716,4257.56015037594,6089.276785714286,3387.2232142857147,-2378.781250000001,11170.111607142859,0.0,0.0,12
Angbyplan,2292.0,2292.0,2292.0,0.0,2292.0,2292.0,0.0,0.0,1
Brommaplan,1926.1006944444443,2257.871031746032,2622.4093406593406,696.3086462148963,881.6377251220999,3666.8723099816852,1.0,16.666666666666664,6
Fridhemsplan,2478.1041666666665,3046.325,3418.75,940.6458333333335,1067.1354166666663,4829.71875,0.0,0.0,12
Gamla Stan,3716.653846153846,4345.25,5330.233006912442,1613.5791607585957,1296.285105015953,7750.601748050335,0.0,0.0,10
Gullmarsplan,3972.259259259259,4246.0,8126.8,4154.540740740741,-2259.551851851853,14358.611111111113,0.0,0.0,9
Hötorget,2580.452205882353,2945.525,3531.6666666666665,951.2144607843134,1153.6305147058831,4958.488357843136,0.0,0.0,12
Islandstorget,2074.7307692307695,2090.4615384615386,2106.1923076923076,31.46153846153811,2027.5384615384623,2153.384615384615,0.0,0.0,2
Kristineberg,4583.138888888889,6125.671428571428,15026.275,10443.136111111111,-11081.565277777778,30690.979166666664,0.0,0.0,12
Medborgarplatsen,3479.0125,4342.970588235295,5015.966666666667,1536.9541666666673,1173.5812499999988,7321.397916666669,0.0,0.0,10
Odenplan,3339.611328125,3915.33203125,4220.732142857143,881.1208147321431,2017.9301060267853,5542.413364955358,1.0,5.555555555555555,18
Rådmansgatan,3343.464285714286,4250.15,5198.987499999999,1855.5232142857135,560.1794642857153,7982.27232142857,0.0,0.0,12
Skanstull,4767.796934865901,5266.714285714286,6110.995629370629,1343.1986945047283,2752.9988931088083,8125.793671127722,1.0,10.0,10
Slussen,4405.277777777777,4646.0,5232.223981900452,826.9462041226743,3164.858471593766,6472.643288084463,2.0,18.181818181818183,11
St Eriksplan,3073.357142857143,3782.215909090909,4372.566666666667,1299.2095238095235,1124.5428571428579,6321.380952380952,1.0,8.333333333333332,12
Stora mossen,2378.75,2707.1666666666665,3178.3690476190477,799.6190476190477,1179.3214285714284,4377.797619047619,1.0,16.666666666666664,6
T-Centralen,2831.522727272727,3180.721428571429,3994.9791666666665,1163.4564393939395,1086.3380681818178,5740.163825757576,0.0,0.0,12
Thorildsplan,3197.6883116883114,4877.549999999999,8218.85,5021.161688311689,-4334.054220779222,15750.592532467534,0.0,0.0,10
Åkeshov,1885.9285714285716,2051.75,2756.695652173913,870.7670807453414,579.7779503105594,4062.846273291925,1.0,20.0,5
