,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5,PM2.5
,Q1,Q2,Q3,IQR,lowerLimit,upperLimit,outliers,prcnt_outliers,count
Sensor,,,,,,,,,
1,28.884999999999998,33.989999999999995,39.235,10.350000000000001,13.359999999999996,54.760000000000005,0.0,0.0,506
2,37.38,40.53,44.815,7.434999999999995,26.22750000000001,55.96749999999999,12.0,0.9353078721745909,1283
3,30.515,33.59,36.785,6.269999999999996,21.110000000000007,46.18999999999999,27.0,3.2335329341317367,835
4,33.43,36.6,40.51,7.079999999999998,22.810000000000002,51.129999999999995,0.0,0.0,773
5,28.63,31.84,33.81,5.180000000000003,20.859999999999992,41.580000000000005,0.0,0.0,345
6,26.96,30.93,33.975,7.015000000000001,16.4375,44.4975,0.0,0.0,271
A,23.2025,26.01,40.185,16.9825,-2.271250000000002,65.65875,0.0,0.0,218
B,32.269999999999996,36.48,39.7,7.430000000000007,21.124999999999986,50.84500000000001,27.0,2.072141212586339,1303
C,33.8975,39.925,43.682500000000005,9.785000000000004,19.219999999999995,58.360000000000014,0.0,0.0,424
D,28.335,31.92,35.205,6.869999999999997,18.030000000000005,45.50999999999999,0.0,0.0,423
E,33.5375,37.9,39.7425,6.204999999999998,24.230000000000004,49.05,40.0,9.345794392523365,428
