,group1,group2,meandiff,p-adj,lower,upper,reject
0,Abrahamsberg,Alvik,-1.1709,0.001,-1.4747,-0.8672,True
1,Abrahamsberg,Angbyplan,-0.7033,0.1493,-1.4385,0.0319,False
2,Abrahamsberg,Brommaplan,-0.9579,0.001,-1.2647,-0.6511,True
3,Abrahamsberg,Fridhemsplan,14.2364,0.001,13.9311,14.5417,True
4,Abrahamsberg,Gamla Stan,3.853,0.001,3.543,4.1631,True
5,Abrahamsberg,Gullmarsplan,-1.3167,0.001,-1.644,-0.9894,True
6,Abrahamsberg,Hötorget,30.3868,0.001,30.0687,30.7048,True
7,Abrahamsberg,Islandstorget,-1.3186,0.001,-1.9218,-0.7154,True
8,Abrahamsberg,Kristineberg,0.3501,0.0215,0.0434,0.6569,True
9,Abrahamsberg,Medborgarplatsen,12.2422,0.001,11.9392,12.5452,True
10,Abrahamsberg,Odenplan,24.1927,0.001,23.9279,24.4575,True
11,Abrahamsberg,Rådmansgatan,23.6857,0.001,23.3718,23.9996,True
12,Abrahamsberg,Skanstull,9.3321,0.001,9.021,9.6431,True
13,Abrahamsberg,Slussen,16.1237,0.001,15.807,16.4405,True
14,Abrahamsberg,St Eriksplan,19.4297,0.001,19.1141,19.7453,True
15,Abrahamsberg,Stora mossen,-0.1202,0.9,-0.4546,0.2143,False
16,Abrahamsberg,T-Centralen,27.3611,0.001,27.0494,27.6729,True
17,Abrahamsberg,Thorildsplan,-1.3994,0.001,-1.7189,-1.0799,True
18,Abrahamsberg,Åkeshov,-1.8591,0.001,-2.1736,-1.5445,True
19,Alvik,Angbyplan,0.4676,0.7873,-0.2471,1.1824,False
20,Alvik,Brommaplan,0.213,0.3698,-0.041,0.467,False
21,Alvik,Fridhemsplan,15.4073,0.001,15.1552,15.6595,True
22,Alvik,Gamla Stan,5.024,0.001,4.766,5.2819,True
23,Alvik,Gullmarsplan,-0.1458,0.9,-0.4242,0.1326,False
24,Alvik,Hötorget,31.5577,0.001,31.2902,31.8252,True
25,Alvik,Islandstorget,-0.1477,0.9,-0.7258,0.4305,False
26,Alvik,Kristineberg,1.521,0.001,1.2671,1.775,True
27,Alvik,Medborgarplatsen,13.4131,0.001,13.1637,13.6625,True
28,Alvik,Odenplan,25.3636,0.001,25.1623,25.5648,True
29,Alvik,Rådmansgatan,24.8566,0.001,24.5941,25.1192,True
30,Alvik,Skanstull,10.503,0.001,10.2439,10.7621,True
31,Alvik,Slussen,17.2947,0.001,17.0288,17.5605,True
32,Alvik,St Eriksplan,20.6006,0.001,20.3361,20.8651,True
33,Alvik,Stora mossen,1.0508,0.001,0.764,1.3375,True
34,Alvik,T-Centralen,28.532,0.001,28.2721,28.792,True
35,Alvik,Thorildsplan,-0.2285,0.345,-0.4977,0.0407,False
36,Alvik,Åkeshov,-0.6881,0.001,-0.9514,-0.4249,True
37,Angbyplan,Brommaplan,-0.2546,0.9,-0.9707,0.4614,False
38,Angbyplan,Fridhemsplan,14.9397,0.001,14.2243,15.6551,True
39,Angbyplan,Gamla Stan,4.5563,0.001,3.8388,5.2738,True
40,Angbyplan,Gullmarsplan,-0.6134,0.3516,-1.3385,0.1117,False
41,Angbyplan,Hötorget,31.0901,0.001,30.3691,31.811,True
42,Angbyplan,Islandstorget,-0.6153,0.6967,-1.4999,0.2693,False
43,Angbyplan,Kristineberg,1.0534,0.001,0.3374,1.7695,True
44,Angbyplan,Medborgarplatsen,12.9455,0.001,12.231,13.6599,True
45,Angbyplan,Odenplan,24.896,0.001,24.1968,25.5951,True
46,Angbyplan,Rådmansgatan,24.389,0.001,23.6699,25.1081,True
47,Angbyplan,Skanstull,10.0354,0.001,9.3175,10.7533,True
48,Angbyplan,Slussen,16.827,0.001,16.1066,17.5474,True
49,Angbyplan,St Eriksplan,20.133,0.001,19.4131,20.8529,True
50,Angbyplan,Stora mossen,0.5831,0.4649,-0.1452,1.3115,False
51,Angbyplan,T-Centralen,28.0644,0.001,27.3462,28.7826,True
52,Angbyplan,Thorildsplan,-0.6961,0.1385,-1.4177,0.0255,False
53,Angbyplan,Åkeshov,-1.1558,0.001,-1.8752,-0.4364,True
54,Brommaplan,Fridhemsplan,15.1943,0.001,14.9386,15.4501,True
55,Brommaplan,Gamla Stan,4.811,0.001,4.5495,5.0724,True
56,Brommaplan,Gullmarsplan,-0.3588,0.0038,-0.6405,-0.0771,True
57,Brommaplan,Hötorget,31.3447,0.001,31.0738,31.6156,True
