,NC0.5,NC0.5,NC0.5,NC0.5,NC0.5,NC0.5,NC0.5,NC0.5,NC0.5,NC0.5,order index
,mean,median,mode,min,max,x_range,sample_std,CI95,CV,standard_error,
Station,,,,,,,,,,,
Abrahamsberg,26.859135745500627,15.607506775067751,4.629368131868132,4.629368131868132,77.53873767258382,72.90936954071569,25.222935936307337,14.905802603575443,0.9390821869811138,7.605001328354819,4
Alvik,27.036010516983527,14.893400184369028,3.9482003395585736,3.9482003395585736,94.17775720164607,90.2295568620875,24.895949567480468,10.91113097706939,0.9208440554438047,5.5669035597292815,6
Angbyplan,34.14980672926448,34.14980672926448,15.200169014084508,15.200169014084508,53.09944444444445,37.89927543035994,26.798834658864227,37.141289921752744,0.7847433770657073,18.94963771517997,1
Brommaplan,26.73548349735322,14.099647058823528,6.497816901408451,6.497816901408451,75.06315789473685,68.56534099332839,25.052125313293047,14.804859975973564,0.9370365535290648,7.553499987741614,3
Fridhemsplan,70.79177312670569,63.332958165963646,49.35636363636364,49.35636363636364,115.4094663278272,66.05310269146356,18.923149759203906,8.293436045157787,0.26730718731023395,4.231344920998871,9
Gamla Stan,38.56286584083422,34.35655,7.536246200607903,7.536246200607903,97.24718367346938,89.71093747286147,27.636602757612398,13.137607018448797,0.7166636129088726,6.702860723698366,15
Gullmarsplan,25.09503540442897,18.430481838646877,2.32068303094984,2.32068303094984,72.00503225806452,69.68434922711468,20.747958775428728,10.166499799960077,0.8267754335093292,5.186989693857182,19
Hötorget,98.81886059253252,95.9489563954557,73.91440414507771,73.91440414507771,139.18851393188854,65.27410978681083,18.368761815510027,9.000693289599912,0.18588315737874544,4.592190453877507,13
Islandstorget,30.673175392299118,23.23881043663472,6.818786279683378,6.818786279683378,69.39629441624365,62.57750813656027,27.074775875714305,26.53328035820002,0.882685784221472,13.537387937857153,0
Kristineberg,29.040332412883497,17.214484945363665,4.298990147783251,4.298990147783251,91.78549657534248,87.48650642755922,25.272192696250247,11.076026798620692,0.8702446079797094,5.651034080928924,7
Medborgarplatsen,65.82013192304233,57.49792156862745,34.46041606886657,34.46041606886657,112.83985542168676,78.37943935282019,23.119793021694306,10.990451964405464,0.351257166253119,5.607373451227278,17
Odenplan,77.43933718412146,74.43413468589587,59.35328964613368,59.35328964613368,114.60011299435028,55.2468233482166,13.739479442299162,5.18256154096401,0.17742248244754316,2.64416405151225,11
Rådmansgatan,88.2063151756275,77.45806228373702,53.86320113314447,53.86320113314447,163.22620689655173,109.36300576340726,28.658072715567865,13.623183013677586,0.32489819644440204,6.950603578406932,12
Skanstull,62.20552764883472,58.65146766169154,34.539017632241816,34.539017632241816,124.06432024169185,89.52530260945002,26.606299306402256,12.647831847076766,0.42771599746892697,6.452975432182024,18
Slussen,73.33698992927253,69.09179495239806,33.01405633802817,33.01405633802817,144.7239468690702,111.70989053104203,30.945833640296655,14.296245760129372,0.42196760011750345,7.294002938841516,16
St Eriksplan,78.35939327500044,72.97390480472765,61.81194366197184,61.81194366197184,117.37762550881952,55.56568184684768,17.29377277513483,7.579330096476785,0.22069814545963548,3.8670051512636663,10
Stora mossen,28.185528705087993,15.755670588235294,3.350638297872341,3.350638297872341,80.07477588871716,76.72413759084482,26.600380364291123,15.71982024183802,0.9437602055514849,8.020316449917358,5
T-Centralen,98.11014417630733,97.7447549019608,73.16143700787401,73.16143700787401,158.70755244755244,85.54611543967843,21.725063164235472,10.327439476043661,0.22143544224330952,5.269101773491664,14
Thorildsplan,25.4165482617091,14.395784615384615,4.095747508305648,4.095747508305648,93.63431952662722,89.53857201832157,25.245005174763083,12.000713693848985,0.9932507323504487,6.122813109106625,8
Åkeshov,24.77403424655715,14.75784686774942,5.363066037735849,5.363066037735849,71.21831916902738,65.85525313129153,23.246763657398855,15.187885589500585,0.9383519626251206,7.748921219132952,2
