station,mean,median,sample_std,CI95,outliers,count,order
Islandstorget,4.976337850528004,4.068269435569755,4.135131601495651,4.052428969465738,0.0,4.0,Islandstorget
Angbyplan,5.263368479394888,5.263368479394888,4.133709633349665,5.729029261867502,0.0,2.0,Angbyplan
Åkeshov,3.877245867650861,2.272185614849188,3.5492391132567644,2.318836220661086,1.0,9.0,Åkeshov
Brommaplan,4.25830676618954,2.17521568627451,3.7549428604352113,2.219029426498489,0.0,11.0,Brommaplan
Abrahamsberg,4.287693659876042,2.4029539295392954,3.7895715117059594,2.2394936516613817,0.0,11.0,Abrahamsberg
Stora mossen,4.523713936262115,2.435652173913044,3.9675960534424095,2.3446994327971056,0.0,11.0,Stora mossen
Alvik,4.467509310485616,2.7502879814430266,3.642230889230171,1.596278068181361,3.0,20.0,Alvik
Kristineberg,4.877084744845306,3.3669499907845437,3.640377577479015,1.5954658184937804,1.0,20.0,Kristineberg
Thorildsplan,4.5901251170747965,2.749859154929577,3.611958079436997,1.7170158803865183,1.0,17.0,Thorildsplan
Fridhemsplan,18.498707940934185,18.57992601456696,4.581664130651541,2.0080028394570277,1.0,20.0,Fridhemsplan
St Eriksplan,24.75207768252674,25.670606658226205,3.0276056524685746,1.326906681404538,1.0,20.0,St Eriksplan
Odenplan,27.4727461827363,28.00183870967742,3.7667309862139753,1.4208191239189547,0.0,27.0,Odenplan
Rådmansgatan,29.59038070867194,26.780067567567567,9.556264280470195,4.542759679341394,1.0,17.0,Rådmansgatan
Hötorget,35.551593736349915,37.63175019767914,5.503048784095874,2.6964939042069784,0.0,16.0,Hötorget
T-Centralen,31.26773427549284,31.98235616438356,5.140862970506434,2.443811131004718,0.0,17.0,T-Centralen
Gamla Stan,8.218249205899307,7.304916201117318,4.20891843504274,2.000792820205269,0.0,17.0,Gamla Stan
Slussen,22.001546947995912,21.18945023116423,8.401783466955848,3.881425934849728,0.0,18.0,Slussen
Medborgarplatsen,17.858760201258637,18.32615037593985,2.749241397494436,1.3069064022054662,0.0,17.0,Medborgarplatsen
Skanstull,14.880031688568934,13.794548022598873,4.532893623242615,2.1548008487472567,1.0,17.0,Skanstull
Gullmarsplan,4.459180848063595,3.953836038961039,2.9715059325141198,1.4560379069319185,2.0,16.0,Gullmarsplan
