,1,2,3,4,5,6,B,A,C,D,E
Islandstorget,3.2116358471388238,3.327906357269613,3.7920903624398634,3.326725529577229,3.9913826131396735,0.35299639036809316,0.1939802640918474,,,,
Angbyplan,0.10313594006357231,2.9438000681522007,0.26600570333214923,0.21707336333696622,0.12151110936119851,,0.22207032711160327,,,,
Åkeshov,3.473360050658526,3.892636569083914,3.330700759711577,3.808934968186971,3.7190527825948925,,3.0956171258783174,0.7633207686616462,0.5028008396629641,0.6184812940672588,0.4333653561927536
Brommaplan,4.1629474591298665,3.919091454222495,4.233889422425217,4.35480569823108,4.359644188374364,0.8862045290799678,1.9355344906332117,0.3961689300610152,0.36840377768129245,0.39366589816411796,0.45273913496033147
Abrahamsberg,4.9746477241435745,4.003359116948498,5.129499566282557,5.264613146217772,4.962983613822036,3.1792977049938114,2.1329780568230854,0.5524043859698302,0.5244851292866112,0.6364940502196863,0.5703117643832802
Stora mossen,4.322609596419315,4.176056852984091,4.442938760241301,4.158026959653531,4.572867342669519,1.1298998433459178,2.3648204026697193,0.7327514424693065,0.43440102570743333,0.6300755527906706,0.6196825626119518
Alvik,3.6155313526758266,3.3846912794342994,3.914461988769671,4.322195694408977,3.9654002386725185,4.789920846853638,2.0590570744861876,1.1133147704287691,1.3959660454063396,1.590813029319915,1.4597650396824062
Kristineberg,4.222561081257323,4.100720529499748,4.430787358408643,4.285756717632027,4.5421327629876425,4.22194461436843,2.289297091807126,1.6292168417889779,2.1529771510197326,1.8762979140777636,1.9770681032453712
Thorildsplan,3.596889478952997,3.526475670363411,4.17030905520131,4.27909100242165,3.951473865354297,5.437646158324298,2.0784089853124827,1.2921573633489418,1.6805106423969263,1.5974588971494545,1.461562628510069
Fridhemsplan,6.592348989139305,6.477303747713752,6.637650793595512,6.405330973947439,6.186111275542957,2.079106897856954,3.624774687459156,3.982646538651843,4.531233236233634,2.342707311713233,3.6528105332721497
St Eriksplan,3.739308676222044,4.109427111761895,3.5926747844923703,3.8999737805667816,3.2405267123174633,3.2718208862946287,2.422835343921521,2.0051756039344677,3.392007944704933,2.127478640699312,2.721048908714455
Odenplan,3.861560817567867,5.145351141163132,3.658166585925881,3.9794865040015375,3.385664395251159,3.6653858998986553,3.886975482353639,3.2890656516871393,3.317497749624962,2.6222579358066547,3.3814057992696362
Rådmansgatan,3.5779100301667643,8.66812863578764,3.576100006026862,5.284563477845281,2.71943189389901,2.0717472632211464,7.840621721921445,5.602797609740912,7.543046062748019,6.397264502467596,8.13805256281639
Hötorget,5.814305286553906,5.733901441463889,5.653609822116795,5.301326328060727,3.7393053998850787,4.396208801598442,5.839084047619919,8.174895137442485,7.062114707785858,4.919496954139035,6.8315206737202825
T-Centralen,3.674930805081343,5.526433777101754,5.94280590471308,4.953943314938939,3.302212393413817,4.255965869981029,6.891009450838349,5.807254322273438,5.770218696206815,5.162003458246198,6.366758698495493
Gamla Stan,5.111991177660812,4.814662266226802,5.6899075348464185,4.432985336605326,5.018309124462787,5.413300122599535,3.589184522450326,3.183957885286112,4.237686757108964,3.4979777288639347,3.687728253542756
Slussen,8.874653413968467,10.16486014125988,9.170583421108663,9.347807521350061,8.563737085223211,9.035943634693012,7.832108889180065,6.623499900195537,7.987723146417597,6.976424574162035,8.14752051161683
Medborgarplatsen,3.1126493920332736,3.3165028173788507,2.8359438636443004,2.186401520911266,3.0023741877016485,2.141532395532093,2.5302742704475825,4.053205659267701,2.7155698735816913,2.2261259778444122,1.977148376755552
Skanstull,5.17029925341614,6.104302978431175,3.9569031519575795,6.3495993750542326,3.972024972626333,4.562251847189508,4.281108511927812,3.3655919402715364,2.2365362868640473,2.2010350672456425,2.585218475456877
Gullmarsplan,1.4959068882426065,2.490693310180692,1.5629631912997723,1.7238346423189095,1.4597280112535669,1.1919671207711595,3.032065769025395,3.5073222220690723,3.119415327545511,2.8177342601227577,3.007710933716905
Avg,4.135459163024617,4.791315263321387,4.299399601826975,4.394123792763335,3.938793698427658,3.449063379276129,3.4070903257979395,3.115263720752707,3.2762552444435187,2.7018773915055374,3.1928565731646383
