,NC0.5,NC0.5,NC0.5,NC0.5,NC0.5,NC0.5,NC0.5,NC0.5,NC0.5
,Q1,Q2,Q3,IQR,lowerLimit,upperLimit,outliers,prcnt_outliers,count
Station,,,,,,,,,
Abrahamsberg,8.280737762237763,15.607506775067751,39.81493231327157,31.534194551033806,-39.02055406431295,87.11622413982228,0.0,0.0,11
Alvik,11.439643697478994,14.893400184369028,34.50171425024826,23.06207055276927,-23.153462131674914,69.09482007940217,1.0,5.0,20
Angbyplan,24.674987871674496,34.14980672926448,43.624625586854464,18.949637715179968,-3.7494687010954557,72.04908215962442,0.0,0.0,2
Brommaplan,8.591514674590947,14.099647058823528,39.811103896103894,31.219589221512948,-38.237869157678475,86.64048772837332,0.0,0.0,11
Fridhemsplan,59.05000607663712,63.332958165963646,78.73190397869675,19.68189790205963,29.52715922354767,108.2547508317862,1.0,5.0,20
Gamla Stan,16.740083102493074,34.35655,56.26435220125786,39.52426909876478,-42.5463205456541,115.55075584940502,0.0,0.0,17
Gullmarsplan,11.410290689077286,18.430481838646877,35.39329338068462,23.983002691607332,-24.56421334833371,71.36779741809562,1.0,6.25,16
Hötorget,87.37527530061877,95.9489563954557,108.47401629306766,21.098740992448896,55.727163811945424,140.122127781741,0.0,0.0,16
Islandstorget,16.757412224872922,23.23881043663472,37.154573604060914,20.39716137918799,-13.838329843909065,67.7503156728429,1.0,25.0,4
Kristineberg,11.623526397772551,17.214484945363665,40.85185169320702,29.228325295434466,-32.218961545379145,84.6943396363587,1.0,5.0,20
Medborgarplatsen,50.1871511627907,57.49792156862745,84.67774509803921,34.49059393524851,-1.5487397400820697,136.413636000912,0.0,0.0,17
Odenplan,67.49507179376303,74.43413468589587,84.70153085553997,17.20645906177694,41.68538320109762,110.51121944820538,1.0,3.7037037037037033,27
Rådmansgatan,69.49793103448276,77.45806228373702,101.6514469453376,32.153515910854836,21.267657168200508,149.88172081161986,1.0,5.88235294117647,17
Skanstull,40.50186274509804,58.65146766169154,74.31950892857142,33.817646183473386,-10.224606530112041,125.0459782037815,0.0,0.0,17
Slussen,52.2106988595546,69.09179495239806,96.55771060004248,44.347011740487886,-14.309818751177232,163.0782282107743,0.0,0.0,18
St Eriksplan,65.30973599067599,72.97390480472765,83.79913030078896,18.48939431011297,37.57564452550653,111.53322176595842,1.0,5.0,20
Stora mossen,9.4834004710859,15.755670588235294,43.767075524737635,34.283675053651734,-41.9421121093917,95.19258810521524,0.0,0.0,11
T-Centralen,81.25531531531531,97.7447549019608,107.10430379746836,25.848988482153047,42.481832592085745,145.87778652069792,1.0,5.88235294117647,17
Thorildsplan,7.685422535211267,14.395784615384615,36.57550847457627,28.890085939365,-35.64970637383623,79.91063738362377,1.0,5.88235294117647,17
Åkeshov,8.713769911504425,14.75784686774942,32.32371428571428,23.609944374209856,-26.701146649810358,67.73863084702907,1.0,11.11111111111111,9
