,Station,Seconds,h:m:s
0,Abrahamsberg,4493,1h 14m 53s
1,Alvik,8742,2h 25m 42s
2,Angbyplan,571,0h 09m 31s
3,Brommaplan,8254,2h 17m 34s
4,Fridhemsplan,8493,2h 21m 33s
5,Gamla Stan,7781,2h 09m 41s
6,Gullmarsplan,5930,1h 38m 50s
7,Hötorget,6809,1h 53m 29s
8,Islandstorget,904,0h 15m 04s
9,Kristineberg,8258,2h 17m 38s
10,Medborgarplatsen,8868,2h 27m 48s
11,Odenplan,29848,8h 17m 28s
12,Rådmansgatan,7284,2h 01m 24s
13,Skanstull,7646,2h 07m 26s
14,Slussen,6955,1h 55m 55s
15,St Eriksplan,7088,1h 58m 08s
16,Stora mossen,5378,1h 29m 38s
17,T-Centralen,7557,2h 05m 57s
18,Thorildsplan,6654,1h 50m 54s
19,Åkeshov,7207,2h 00m 07s
