,Station,Seconds,h:m:s
0,Abrahamsberg,1014,0h 16m 54s
1,Alvik,1457,0h 24m 17s
2,Angbyplan,355,0h 05m 55s
3,Brommaplan,1921,0h 32m 01s
4,Fridhemsplan,912,0h 15m 12s
5,Gamla Stan,1470,0h 24m 30s
6,Gullmarsplan,937,0h 15m 37s
7,Hötorget,812,0h 13m 32s
8,Islandstorget,379,0h 06m 19s
9,Kristineberg,823,0h 13m 43s
10,Medborgarplatsen,989,0h 16m 29s
11,Odenplan,8182,2h 16m 22s
12,Rådmansgatan,1156,0h 19m 16s
13,Skanstull,1020,0h 17m 00s
14,Slussen,867,0h 14m 27s
15,St Eriksplan,755,0h 12m 35s
16,Stora mossen,1172,0h 19m 32s
17,T-Centralen,1050,0h 17m 30s
18,Thorildsplan,1098,0h 18m 18s
19,Åkeshov,2155,0h 35m 55s
