,Time,Number,Size,LDSA,Filter,Diff,Timestamp,Sensor,Station,Date,Session Id
0,634.5,4662,"43,5","11,14","8,44","4,81",2021-10-05 07:11:34,DiSC,Alvik,2021-10-05,20211005-2
1,644.5,5115,"41,8","11,7","8,71","5,21",2021-10-05 07:11:44,DiSC,Alvik,2021-10-05,20211005-2
2,654.5,4997,"42,3","11,57","8,66","5,11",2021-10-05 07:11:54,DiSC,Alvik,2021-10-05,20211005-2
3,664.5,5789,"41,4","13,1","9,7","5,87",2021-10-05 07:12:04,DiSC,Alvik,2021-10-05,20211005-2
4,674.5,5285,"41,5",12,"8,91","5,37",2021-10-05 07:12:14,DiSC,Alvik,2021-10-05,20211005-2
5,684.5,5013,"44,2","12,21","9,31","5,21",2021-10-05 07:12:24,DiSC,Alvik,2021-10-05,20211005-2
6,694.5,5712,"40,4","12,58","9,22","5,75",2021-10-05 07:12:34,DiSC,Alvik,2021-10-05,20211005-2
7,704.5,5458,41,"12,21","9,01","5,52",2021-10-05 07:12:44,DiSC,Alvik,2021-10-05,20211005-2
8,714.5,5682,40,"12,38","9,03","5,7",2021-10-05 07:12:54,DiSC,Alvik,2021-10-05,20211005-2
9,724.5,5740,"40,2","12,56","9,18","5,76",2021-10-05 07:13:04,DiSC,Alvik,2021-10-05,20211005-2
10,734.5,5217,"42,1","12,02","8,97","5,33",2021-10-05 07:13:14,DiSC,Alvik,2021-10-05,20211005-2
11,744.5,4688,"44,3","11,44","8,73","4,87",2021-10-05 07:13:24,DiSC,Alvik,2021-10-05,20211005-2
12,1334.5,3233,57,"10,43","8,75","3,66",2021-10-05 07:23:14,DiSC,Fridhemsplan,2021-10-05,20211005-2
13,1344.5,3251,"55,7","10,23","8,52","3,65",2021-10-05 07:23:24,DiSC,Fridhemsplan,2021-10-05,20211005-2
14,1354.5,3452,"53,6","10,42","8,57","3,83",2021-10-05 07:23:34,DiSC,Fridhemsplan,2021-10-05,20211005-2
15,1364.5,3511,"52,6","10,37","8,47","3,87",2021-10-05 07:23:44,DiSC,Fridhemsplan,2021-10-05,20211005-2
16,1374.5,3264,"55,2","10,16","8,44","3,65",2021-10-05 07:23:54,DiSC,Fridhemsplan,2021-10-05,20211005-2
17,2194.5,3239,"57,1","10,47","8,79","3,67",2021-10-05 07:37:34,DiSC,Hötorget,2021-10-05,20211005-2
18,2204.5,3064,"58,9","10,26","8,69","3,51",2021-10-05 07:37:44,DiSC,Hötorget,2021-10-05,20211005-2
19,2214.5,3052,"58,7","10,19","8,63","3,49",2021-10-05 07:37:54,DiSC,Hötorget,2021-10-05,20211005-2
20,2224.5,3207,"58,2","10,6","8,95","3,66",2021-10-05 07:38:04,DiSC,Hötorget,2021-10-05,20211005-2
21,2234.5,3432,"56,8","11,04","9,25","3,88",2021-10-05 07:38:14,DiSC,Hötorget,2021-10-05,20211005-2
22,2244.5,3397,"57,1",11,"9,23","3,85",2021-10-05 07:38:24,DiSC,Hötorget,2021-10-05,20211005-2
23,2254.5,3091,"58,9","10,36","8,78","3,54",2021-10-05 07:38:34,DiSC,Hötorget,2021-10-05,20211005-2
24,2264.5,2976,62,"10,56","9,09","3,47",2021-10-05 07:38:44,DiSC,Hötorget,2021-10-05,20211005-2
25,944.5,24078,"42,9","56,74","42,6","24,71",2021-10-05 07:16:44,DiSC,Kristineberg,2021-10-05,20211005-2
26,954.5,29454,"45,4","73,82","56,67","30,79",2021-10-05 07:16:54,DiSC,Kristineberg,2021-10-05,20211005-2
27,964.5,28304,"37,7","57,74","40,81","27,69",2021-10-05 07:17:04,DiSC,Kristineberg,2021-10-05,20211005-2
28,974.5,28819,"35,3","54,64","37,36","27,48",2021-10-05 07:17:14,DiSC,Kristineberg,2021-10-05,20211005-2
29,984.5,24044,"39,4","51,55","37,25","23,93",2021-10-05 07:17:24,DiSC,Kristineberg,2021-10-05,20211005-2
30,1734.5,3794,"58,1","12,52","10,56","4,32",2021-10-05 07:29:54,DiSC,Odenplan,2021-10-05,20211005-2
31,1744.5,3644,"61,5","12,8","10,98","4,23",2021-10-05 07:30:04,DiSC,Odenplan,2021-10-05,20211005-2
32,1754.5,3780,"58,7","12,61","10,68","4,32",2021-10-05 07:30:14,DiSC,Odenplan,2021-10-05,20211005-2
