,Timestamp,Station,Sensor,PM2.5,Session Id
0,2021-10-11 08:05:43,Alvik,1,8.87,20211011-2
1,2021-10-11 08:05:43,Alvik,2,10.68,20211011-2
2,2021-10-11 08:05:43,Alvik,3,10.69,20211011-2
3,2021-10-11 08:05:43,Alvik,4,9.93,20211011-2
4,2021-10-11 08:05:43,Alvik,6,12.22,20211011-2
5,2021-10-11 08:05:44,Alvik,3,10.74,20211011-2
6,2021-10-11 08:05:44,Alvik,4,9.93,20211011-2
7,2021-10-11 08:05:44,Alvik,5,10.55,20211011-2
8,2021-10-11 08:05:44,Alvik,6,12.25,20211011-2
9,2021-10-11 08:05:45,Alvik,1,8.88,20211011-2
10,2021-10-11 08:05:45,Alvik,2,10.59,20211011-2
11,2021-10-11 08:05:45,Alvik,3,10.75,20211011-2
12,2021-10-11 08:05:45,Alvik,4,9.97,20211011-2
13,2021-10-11 08:05:45,Alvik,5,10.53,20211011-2
14,2021-10-11 08:05:45,Alvik,6,12.24,20211011-2
15,2021-10-11 08:05:46,Alvik,1,8.9,20211011-2
16,2021-10-11 08:05:46,Alvik,2,10.5,20211011-2
17,2021-10-11 08:05:46,Alvik,3,10.74,20211011-2
18,2021-10-11 08:05:46,Alvik,4,10.01,20211011-2
19,2021-10-11 08:05:46,Alvik,5,10.5,20211011-2
20,2021-10-11 08:05:46,Alvik,6,12.23,20211011-2
21,2021-10-11 08:05:46,Alvik,6,12.24,20211011-2
22,2021-10-11 08:05:47,Alvik,1,8.94,20211011-2
23,2021-10-11 08:05:47,Alvik,2,10.41,20211011-2
24,2021-10-11 08:05:47,Alvik,4,10.05,20211011-2
25,2021-10-11 08:05:47,Alvik,4,10.1,20211011-2
26,2021-10-11 08:05:47,Alvik,5,10.46,20211011-2
27,2021-10-11 08:05:47,Alvik,6,12.27,20211011-2
28,2021-10-11 08:05:48,Alvik,1,9.04,20211011-2
29,2021-10-11 08:05:48,Alvik,2,10.36,20211011-2
30,2021-10-11 08:05:48,Alvik,3,10.69,20211011-2
31,2021-10-11 08:05:48,Alvik,4,10.14,20211011-2
32,2021-10-11 08:05:48,Alvik,5,10.42,20211011-2
33,2021-10-11 08:05:49,Alvik,1,9.15,20211011-2
34,2021-10-11 08:05:49,Alvik,2,10.28,20211011-2
35,2021-10-11 08:05:49,Alvik,2,10.23,20211011-2
36,2021-10-11 08:05:49,Alvik,3,10.69,20211011-2
37,2021-10-11 08:05:49,Alvik,5,10.39,20211011-2
38,2021-10-11 08:05:49,Alvik,6,12.31,20211011-2
39,2021-10-11 08:05:50,Alvik,2,10.18,20211011-2
40,2021-10-11 08:05:50,Alvik,3,10.7,20211011-2
41,2021-10-11 08:05:50,Alvik,4,10.15,20211011-2
42,2021-10-11 08:05:50,Alvik,6,12.35,20211011-2
43,2021-10-11 08:05:51,Alvik,1,9.24,20211011-2
44,2021-10-11 08:05:51,Alvik,3,10.7,20211011-2
45,2021-10-11 08:05:51,Alvik,4,10.17,20211011-2
46,2021-10-11 08:05:51,Alvik,5,10.38,20211011-2
47,2021-10-11 08:05:51,Alvik,6,12.42,20211011-2
48,2021-10-11 08:05:52,Alvik,1,9.35,20211011-2
49,2021-10-11 08:05:52,Alvik,2,10.17,20211011-2
50,2021-10-11 08:05:52,Alvik,3,10.72,20211011-2
51,2021-10-11 08:05:52,Alvik,3,10.75,20211011-2
52,2021-10-11 08:05:52,Alvik,4,10.2,20211011-2
53,2021-10-11 08:05:52,Alvik,5,10.38,20211011-2
