,Timestamp,Station,Sensor,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC10,TypicalParticleSize,PM1.0,PM2.5,PM4.0,PM10,Session Id
0,2021-10-12 07:51:58,Gullmarsplan,1,18.5,38.3,4.97,6.23,6.55,6.62,0.71,0.82,1.15,1.38,1.43,20211012-2
1,2021-10-12 07:51:58,Gullmarsplan,2,17.9,39.9,5.44,6.86,7.22,7.29,0.76,0.91,1.28,1.54,1.6,20211012-2
2,2021-10-12 07:51:58,Gullmarsplan,3,17.9,39.7,5.45,7.26,7.89,8.01,0.83,0.99,1.62,2.09,2.18,20211012-2
3,2021-10-12 07:51:58,Gullmarsplan,4,18.8,38.1,5.55,7.22,7.75,7.86,0.83,0.98,1.52,1.91,1.99,20211012-2
4,2021-10-12 07:51:58,Gullmarsplan,5,18.4,38.1,4.44,5.38,5.55,5.59,0.78,0.7,0.88,1.0,1.02,20211012-2
5,2021-10-12 07:51:58,Gullmarsplan,5,18.4,38.1,4.39,5.3,5.45,5.48,0.76,0.68,0.85,0.95,0.97,20211012-2
6,2021-10-12 07:51:58,Gullmarsplan,6,18.2,38.6,5.86,7.04,7.22,7.26,0.58,0.91,1.11,1.24,1.26,20211012-2
7,2021-10-12 07:51:59,Gullmarsplan,1,18.5,38.2,4.88,6.13,6.45,6.52,0.71,0.81,1.14,1.37,1.42,20211012-2
8,2021-10-12 07:51:59,Gullmarsplan,2,17.9,39.9,5.32,6.71,7.07,7.14,0.76,0.89,1.26,1.51,1.56,20211012-2
9,2021-10-12 07:51:59,Gullmarsplan,3,17.9,39.7,5.39,7.17,7.78,7.9,0.83,0.98,1.6,2.05,2.14,20211012-2
10,2021-10-12 07:51:59,Gullmarsplan,4,18.8,38.1,5.55,7.21,7.73,7.83,0.83,0.97,1.5,1.89,1.97,20211012-2
11,2021-10-12 07:51:59,Gullmarsplan,6,18.3,38.6,5.72,6.88,7.07,7.11,0.59,0.89,1.1,1.23,1.26,20211012-2
12,2021-10-12 07:52:00,Gullmarsplan,1,18.6,38.3,4.76,5.98,6.3,6.36,0.71,0.79,1.11,1.34,1.38,20211012-2
13,2021-10-12 07:52:00,Gullmarsplan,2,17.9,39.9,5.21,6.59,6.96,7.03,0.76,0.87,1.25,1.51,1.57,20211012-2
14,2021-10-12 07:52:00,Gullmarsplan,3,17.9,39.6,5.3,7.06,7.66,7.79,0.83,0.96,1.58,2.03,2.12,20211012-2
15,2021-10-12 07:52:00,Gullmarsplan,4,18.8,38.0,5.48,7.12,7.64,7.74,0.83,0.96,1.49,1.87,1.94,20211012-2
16,2021-10-12 07:52:00,Gullmarsplan,5,18.4,38.0,4.29,5.18,5.32,5.35,0.76,0.67,0.83,0.93,0.95,20211012-2
17,2021-10-12 07:52:00,Gullmarsplan,6,18.2,38.6,5.67,6.82,7.01,7.04,0.59,0.88,1.09,1.22,1.24,20211012-2
18,2021-10-12 07:52:01,Gullmarsplan,1,18.6,38.2,4.69,5.89,6.2,6.26,0.71,0.78,1.09,1.31,1.35,20211012-2
19,2021-10-12 07:52:01,Gullmarsplan,3,17.9,39.6,5.27,6.99,7.57,7.69,0.82,0.95,1.54,1.98,2.06,20211012-2
20,2021-10-12 07:52:01,Gullmarsplan,3,17.9,39.5,5.17,6.85,7.42,7.53,0.82,0.93,1.51,1.94,2.02,20211012-2
21,2021-10-12 07:52:01,Gullmarsplan,4,18.8,38.0,5.48,7.08,7.57,7.67,0.83,0.95,1.46,1.82,1.89,20211012-2
22,2021-10-12 07:52:01,Gullmarsplan,5,18.4,38.1,4.16,5.02,5.17,5.19,0.76,0.65,0.8,0.9,0.92,20211012-2
23,2021-10-12 07:52:01,Gullmarsplan,6,18.2,38.6,5.63,6.77,6.95,6.98,0.58,0.87,1.07,1.2,1.22,20211012-2
24,2021-10-12 07:52:02,Gullmarsplan,2,17.9,39.9,5.18,6.54,6.9,6.97,0.76,0.87,1.23,1.49,1.54,20211012-2
25,2021-10-12 07:52:02,Gullmarsplan,2,17.9,39.9,5.09,6.44,6.78,6.85,0.76,0.85,1.21,1.47,1.52,20211012-2
26,2021-10-12 07:52:02,Gullmarsplan,4,18.8,38.0,5.4,6.98,7.47,7.56,0.83,0.94,1.44,1.79,1.87,20211012-2
27,2021-10-12 07:52:02,Gullmarsplan,5,18.4,38.0,4.06,4.9,5.04,5.07,0.76,0.63,0.79,0.88,0.9,20211012-2
28,2021-10-12 07:52:02,Gullmarsplan,6,18.2,38.6,5.53,6.65,6.83,6.86,0.58,0.86,1.06,1.18,1.2,20211012-2
29,2021-10-12 07:52:03,Gullmarsplan,1,18.6,38.2,4.59,5.76,6.06,6.12,0.71,0.76,1.07,1.28,1.32,20211012-2
30,2021-10-12 07:52:03,Gullmarsplan,3,17.9,39.5,5.03,6.66,7.22,7.33,0.82,0.91,1.47,1.88,1.97,20211012-2
31,2021-10-12 07:52:03,Gullmarsplan,4,18.7,38.0,5.28,6.83,7.3,7.4,0.83,0.92,1.4,1.75,1.82,20211012-2
32,2021-10-12 07:52:03,Gullmarsplan,4,18.7,38.0,5.18,6.66,7.1,7.19,0.81,0.89,1.34,1.67,1.73,20211012-2
33,2021-10-12 07:52:03,Gullmarsplan,5,18.4,38.0,4.07,4.92,5.06,5.09,0.76,0.64,0.79,0.89,0.91,20211012-2
34,2021-10-12 07:52:04,Gullmarsplan,1,18.6,38.1,4.46,5.6,5.89,5.95,0.71,0.74,1.04,1.25,1.29,20211012-2
35,2021-10-12 07:52:04,Gullmarsplan,2,18.0,39.9,5.07,6.4,6.74,6.81,0.75,0.85,1.2,1.45,1.5,20211012-2
36,2021-10-12 07:52:04,Gullmarsplan,5,18.4,37.9,4.04,4.88,5.02,5.05,0.76,0.63,0.79,0.88,0.9,20211012-2
37,2021-10-12 07:52:04,Gullmarsplan,6,18.2,38.6,5.46,6.55,6.72,6.76,0.57,0.84,1.04,1.15,1.18,20211012-2
