,Time,Number,Size,LDSA,Filter,Diff,Timestamp,Station,Date,Sensor,Session Id
0,1174.5,3182,"46,1","8,12","6,31","3,35",2021-10-07 16:22:41,Gamla Stan,2021-10-07,DiSC,20211007-4
1,1184.5,3188,"46,6","8,23","6,42","3,37",2021-10-07 16:22:51,Gamla Stan,2021-10-07,DiSC,20211007-4
2,1194.5,3413,"44,3","8,33","6,37","3,55",2021-10-07 16:23:01,Gamla Stan,2021-10-07,DiSC,20211007-4
3,1204.5,3201,"46,5","8,25","6,43","3,38",2021-10-07 16:23:11,Gamla Stan,2021-10-07,DiSC,20211007-4
4,1214.5,3145,"46,2","8,04","6,25","3,32",2021-10-07 16:23:21,Gamla Stan,2021-10-07,DiSC,20211007-4
5,1224.5,2963,"47,4","7,81","6,13","3,15",2021-10-07 16:23:31,Gamla Stan,2021-10-07,DiSC,20211007-4
6,1234.5,2916,"48,1","7,8","6,16","3,12",2021-10-07 16:23:41,Gamla Stan,2021-10-07,DiSC,20211007-4
7,1244.5,2801,"49,3","7,71","6,15","3,02",2021-10-07 16:23:51,Gamla Stan,2021-10-07,DiSC,20211007-4
8,1254.5,2805,"49,2","7,69","6,13","3,02",2021-10-07 16:24:01,Gamla Stan,2021-10-07,DiSC,20211007-4
9,1264.5,2843,"49,2","7,8","6,22","3,06",2021-10-07 16:24:11,Gamla Stan,2021-10-07,DiSC,20211007-4
10,1274.5,2899,"48,7","7,86","6,24","3,11",2021-10-07 16:24:21,Gamla Stan,2021-10-07,DiSC,20211007-4
11,2214.5,3926,"51,7","11,38","9,24","4,3",2021-10-07 16:40:01,Gullmarsplan,2021-10-07,DiSC,20211007-4
12,2224.5,3603,53,"10,74","8,79","3,98",2021-10-07 16:40:11,Gullmarsplan,2021-10-07,DiSC,20211007-4
13,2234.5,3529,"52,1","10,32","8,4","3,88",2021-10-07 16:40:21,Gullmarsplan,2021-10-07,DiSC,20211007-4
14,2244.5,4265,"50,1","11,92","9,56","4,62",2021-10-07 16:40:31,Gullmarsplan,2021-10-07,DiSC,20211007-4
15,2254.5,4492,"52,7","13,3","10,86","4,95",2021-10-07 16:40:41,Gullmarsplan,2021-10-07,DiSC,20211007-4
16,2264.5,4504,52,"13,13","10,67","4,94",2021-10-07 16:40:51,Gullmarsplan,2021-10-07,DiSC,20211007-4
17,2274.5,5403,"48,3","14,53","11,49","5,79",2021-10-07 16:41:01,Gullmarsplan,2021-10-07,DiSC,20211007-4
18,624.5,2532,"60,1","8,67","7,4","2,92",2021-10-07 16:13:31,Hötorget,2021-10-07,DiSC,20211007-4
19,634.5,2478,"62,1","8,81","7,59","2,89",2021-10-07 16:13:41,Hötorget,2021-10-07,DiSC,20211007-4
20,644.5,2604,"61,7","9,18","7,89","3,03",2021-10-07 16:13:51,Hötorget,2021-10-07,DiSC,20211007-4
21,654.5,2414,"65,9","9,15","8,01","2,88",2021-10-07 16:14:01,Hötorget,2021-10-07,DiSC,20211007-4
22,664.5,2470,"64,9","9,21","8,03","2,93",2021-10-07 16:14:11,Hötorget,2021-10-07,DiSC,20211007-4
23,674.5,2482,"62,3","8,85","7,63","2,9",2021-10-07 16:14:21,Hötorget,2021-10-07,DiSC,20211007-4
24,684.5,2588,"61,9","9,17","7,89","3,02",2021-10-07 16:14:31,Hötorget,2021-10-07,DiSC,20211007-4
25,694.5,2537,"62,9","9,14","7,9","2,97",2021-10-07 16:14:41,Hötorget,2021-10-07,DiSC,20211007-4
26,704.5,2614,"61,9","9,25","7,96","3,05",2021-10-07 16:14:51,Hötorget,2021-10-07,DiSC,20211007-4
27,714.5,2651,"62,5","9,49","8,19","3,1",2021-10-07 16:15:01,Hötorget,2021-10-07,DiSC,20211007-4
28,724.5,2691,"61,9","9,52","8,19","3,13",2021-10-07 16:15:11,Hötorget,2021-10-07,DiSC,20211007-4
29,734.5,3232,"54,3","9,9","8,18","3,6",2021-10-07 16:15:21,Hötorget,2021-10-07,DiSC,20211007-4
30,1654.5,4694,"61,9","16,6","14,27","5,47",2021-10-07 16:30:41,Medborgarplatsen,2021-10-07,DiSC,20211007-4
31,1664.5,4588,"61,7","16,18","13,91","5,34",2021-10-07 16:30:51,Medborgarplatsen,2021-10-07,DiSC,20211007-4
32,1674.5,4795,"61,2","16,75","14,35","5,56",2021-10-07 16:31:01,Medborgarplatsen,2021-10-07,DiSC,20211007-4
33,1684.5,5072,"58,9","16,98","14,39","5,8",2021-10-07 16:31:11,Medborgarplatsen,2021-10-07,DiSC,20211007-4
34,1694.5,5002,"59,3","16,88","14,33","5,74",2021-10-07 16:31:21,Medborgarplatsen,2021-10-07,DiSC,20211007-4
35,1704.5,5117,"58,3","16,95","14,32","5,84",2021-10-07 16:31:31,Medborgarplatsen,2021-10-07,DiSC,20211007-4
36,1714.5,5008,"58,6","16,69","14,12","5,72",2021-10-07 16:31:41,Medborgarplatsen,2021-10-07,DiSC,20211007-4
37,1724.5,4993,"60,2","17,14","14,62","5,76",2021-10-07 16:31:51,Medborgarplatsen,2021-10-07,DiSC,20211007-4
38,1734.5,4744,"61,6","16,71","14,35","5,52",2021-10-07 16:32:01,Medborgarplatsen,2021-10-07,DiSC,20211007-4
39,1744.5,4869,"60,8","16,89","14,45","5,64",2021-10-07 16:32:11,Medborgarplatsen,2021-10-07,DiSC,20211007-4
40,414.5,3238,"58,8","10,82","9,17","3,7",2021-10-07 16:10:01,Rådmansgatan,2021-10-07,DiSC,20211007-4
41,424.5,3496,"57,7","11,45","9,64","3,97",2021-10-07 16:10:11,Rådmansgatan,2021-10-07,DiSC,20211007-4
42,434.5,3105,"64,6","11,51","10,02","3,67",2021-10-07 16:10:21,Rådmansgatan,2021-10-07,DiSC,20211007-4
43,444.5,3455,"57,8","11,33","9,55","3,93",2021-10-07 16:10:31,Rådmansgatan,2021-10-07,DiSC,20211007-4
44,454.5,3163,"60,3","10,87","9,28","3,65",2021-10-07 16:10:41,Rådmansgatan,2021-10-07,DiSC,20211007-4
45,464.5,3510,"56,3","11,18","9,34","3,96",2021-10-07 16:10:51,Rådmansgatan,2021-10-07,DiSC,20211007-4
46,474.5,3632,"59,2","12,23","10,38","4,17",2021-10-07 16:11:01,Rådmansgatan,2021-10-07,DiSC,20211007-4
47,1894.5,7496,"55,5","23,5","19,53","8,41",2021-10-07 16:34:41,Skanstull,2021-10-07,DiSC,20211007-4
48,1904.5,8053,"53,5","24,22","19,87","8,92",2021-10-07 16:34:51,Skanstull,2021-10-07,DiSC,20211007-4
49,1914.5,8364,"55,5","26,24","21,8","9,38",2021-10-07 16:35:01,Skanstull,2021-10-07,DiSC,20211007-4
50,1924.5,7488,"57,8","24,56","20,68","8,51",2021-10-07 16:35:11,Skanstull,2021-10-07,DiSC,20211007-4
51,1934.5,7783,"53,9","23,63","19,45","8,64",2021-10-07 16:35:21,Skanstull,2021-10-07,DiSC,20211007-4
52,1944.5,7590,"54,5","23,33","19,27","8,46",2021-10-07 16:35:31,Skanstull,2021-10-07,DiSC,20211007-4
53,1954.5,7381,"53,8","22,37","18,4","8,19",2021-10-07 16:35:41,Skanstull,2021-10-07,DiSC,20211007-4
54,1964.5,7495,"54,1","22,83","18,81","8,33",2021-10-07 16:35:51,Skanstull,2021-10-07,DiSC,20211007-4
55,1974.5,7582,"53,8","22,95","18,87","8,41",2021-10-07 16:36:01,Skanstull,2021-10-07,DiSC,20211007-4
56,1984.5,7194,"55,1","22,37","18,54","8,05",2021-10-07 16:36:11,Skanstull,2021-10-07,DiSC,20211007-4
57,1994.5,7249,"55,4","22,66","18,81","8,12",2021-10-07 16:36:21,Skanstull,2021-10-07,DiSC,20211007-4
58,2004.5,7694,"55,3","24,02","19,94","8,62",2021-10-07 16:36:31,Skanstull,2021-10-07,DiSC,20211007-4
59,2014.5,7764,"56,2","24,69","20,6","8,74",2021-10-07 16:36:41,Skanstull,2021-10-07,DiSC,20211007-4
60,2024.5,7820,56,"24,78","20,65","8,8",2021-10-07 16:36:51,Skanstull,2021-10-07,DiSC,20211007-4
61,2034.5,7517,"57,1","24,31","20,39","8,51",2021-10-07 16:37:01,Skanstull,2021-10-07,DiSC,20211007-4
62,1424.5,4758,"44,7","11,72","8,98","4,96",2021-10-07 16:26:51,Slussen,2021-10-07,DiSC,20211007-4
63,1434.5,5030,"42,7","11,78","8,86","5,16",2021-10-07 16:27:01,Slussen,2021-10-07,DiSC,20211007-4
64,1444.5,4919,"44,4","12,03","9,19","5,12",2021-10-07 16:27:11,Slussen,2021-10-07,DiSC,20211007-4
65,1454.5,4995,"44,6","12,29","9,41","5,21",2021-10-07 16:27:21,Slussen,2021-10-07,DiSC,20211007-4
66,1464.5,4701,"46,7","12,17","9,5","4,98",2021-10-07 16:27:31,Slussen,2021-10-07,DiSC,20211007-4
67,1474.5,4984,"45,9","12,66","9,81","5,25",2021-10-07 16:27:41,Slussen,2021-10-07,DiSC,20211007-4
68,1484.5,5946,"40,7","13,22","9,73",6,2021-10-07 16:27:51,Slussen,2021-10-07,DiSC,20211007-4
69,1494.5,6015,"40,4","13,26","9,72","6,05",2021-10-07 16:28:01,Slussen,2021-10-07,DiSC,20211007-4
70,894.5,2358,"60,7","8,17","6,99","2,73",2021-10-07 16:18:01,T-Centralen,2021-10-07,DiSC,20211007-4
71,904.5,2367,"59,8","8,06","6,86","2,72",2021-10-07 16:18:11,T-Centralen,2021-10-07,DiSC,20211007-4
72,914.5,2545,"56,4","8,13","6,8","2,87",2021-10-07 16:18:21,T-Centralen,2021-10-07,DiSC,20211007-4
73,924.5,2679,55,"8,31","6,89",3,2021-10-07 16:18:31,T-Centralen,2021-10-07,DiSC,20211007-4
74,934.5,2954,"53,4","8,87","7,29","3,27",2021-10-07 16:18:41,T-Centralen,2021-10-07,DiSC,20211007-4
75,944.5,3109,"51,8","9,02","7,33","3,41",2021-10-07 16:18:51,T-Centralen,2021-10-07,DiSC,20211007-4
76,954.5,3189,"51,2","9,13","7,38","3,48",2021-10-07 16:19:01,T-Centralen,2021-10-07,DiSC,20211007-4
77,964.5,3117,"51,5","8,99","7,28","3,41",2021-10-07 16:19:11,T-Centralen,2021-10-07,DiSC,20211007-4
78,974.5,2838,"55,6","8,92","7,43","3,19",2021-10-07 16:19:21,T-Centralen,2021-10-07,DiSC,20211007-4
79,984.5,2823,"56,5","9,02","7,54","3,19",2021-10-07 16:19:31,T-Centralen,2021-10-07,DiSC,20211007-4
80,994.5,2855,"54,3","8,74","7,22","3,18",2021-10-07 16:19:41,T-Centralen,2021-10-07,DiSC,20211007-4
