,Timestamp,Station,Sensor,Temperature,Humidity,NC0.5,NC1.0,NC2.5,NC10,TypicalParticleSize,PM1.0,PM2.5,PM4.0,PM10,Session Id
0,2021-10-11 16:56:30,Odenplan,A,22.4,49.2,75.59,109.68,124.1,127.07,1.03,15.66,29.63,40.22,42.33,20211011-3
1,2021-10-11 16:56:30,Odenplan,C,22.4,48.4,74.78,112.13,128.58,131.84,1.02,16.24,32.73,45.33,47.85,20211011-3
2,2021-10-11 16:56:30,Odenplan,E,22.5,49.4,82.83,121.35,137.8,141.23,1.01,17.39,33.4,45.54,47.97,20211011-3
3,2021-10-11 16:56:31,Odenplan,A,22.4,49.2,74.76,108.58,122.91,125.86,1.03,15.51,29.39,39.9,42.01,20211011-3
4,2021-10-11 16:56:31,Odenplan,B,22.4,48.1,73.55,107.9,122.6,125.57,1.04,15.47,30.09,41.19,43.41,20211011-3
5,2021-10-11 16:56:31,Odenplan,C,22.4,48.3,74.52,111.77,128.18,131.43,1.03,16.19,32.64,45.2,47.71,20211011-3
6,2021-10-11 16:56:31,Odenplan,D,22.3,48.8,71.57,105.27,119.84,122.84,1.02,15.12,29.22,39.92,42.06,20211011-3
7,2021-10-11 16:56:31,Odenplan,E,22.5,49.5,82.56,120.9,137.26,140.66,1.0,17.32,33.24,45.32,47.74,20211011-3
8,2021-10-11 16:56:32,Odenplan,A,22.4,49.1,73.78,107.21,121.38,124.3,1.03,15.31,29.05,39.45,41.53,20211011-3
9,2021-10-11 16:56:32,Odenplan,B,22.4,48.1,73.58,107.96,122.66,125.63,1.04,15.48,30.1,41.21,43.43,20211011-3
10,2021-10-11 16:56:32,Odenplan,C,22.4,48.2,74.1,111.19,127.54,130.78,1.04,16.11,32.5,45.01,47.51,20211011-3
11,2021-10-11 16:56:32,Odenplan,D,22.3,48.7,71.55,105.23,119.79,122.79,1.02,15.12,29.2,39.9,42.03,20211011-3
12,2021-10-11 16:56:33,Odenplan,A,22.4,49.0,73.0,106.09,120.14,123.03,1.03,15.16,28.76,39.07,41.13,20211011-3
13,2021-10-11 16:56:33,Odenplan,B,22.4,48.1,73.81,108.28,123.02,126.01,1.04,15.53,30.19,41.33,43.56,20211011-3
14,2021-10-11 16:56:33,Odenplan,C,22.4,48.1,73.62,110.5,126.76,129.98,1.03,16.01,32.31,44.76,47.25,20211011-3
15,2021-10-11 16:56:33,Odenplan,D,22.3,48.6,71.25,104.79,119.29,122.27,1.02,15.05,29.08,39.74,41.87,20211011-3
16,2021-10-11 16:56:33,Odenplan,E,22.5,49.5,82.24,120.4,136.68,140.07,1.0,17.25,33.09,45.12,47.52,20211011-3
17,2021-10-11 16:56:34,Odenplan,A,22.4,48.9,72.42,105.25,119.18,122.05,1.02,15.04,28.53,38.75,40.8,20211011-3
18,2021-10-11 16:56:34,Odenplan,C,22.4,48.0,73.44,110.19,126.38,129.59,1.02,15.96,32.2,44.6,47.08,20211011-3
19,2021-10-11 16:56:34,Odenplan,D,22.3,48.4,70.69,103.98,118.38,121.34,1.02,14.94,28.86,39.44,41.55,20211011-3
20,2021-10-11 16:56:34,Odenplan,E,22.5,49.4,81.89,119.88,136.08,139.45,1.0,17.17,32.94,44.91,47.3,20211011-3
21,2021-10-11 16:56:35,Odenplan,A,22.4,48.7,71.78,104.33,118.14,120.99,1.03,14.91,28.29,38.43,40.45,20211011-3
22,2021-10-11 16:56:35,Odenplan,B,22.4,48.0,73.96,108.51,123.28,126.27,1.04,15.56,30.25,41.41,43.65,20211011-3
23,2021-10-11 16:56:35,Odenplan,C,22.4,48.0,73.32,110.02,126.21,129.41,1.04,15.94,32.16,44.55,47.03,20211011-3
24,2021-10-11 16:56:35,Odenplan,D,22.3,48.3,69.75,102.45,116.56,119.46,1.01,14.71,28.36,38.72,40.79,20211011-3
25,2021-10-11 16:56:35,Odenplan,E,22.5,49.3,81.37,119.15,135.27,138.62,1.0,17.07,32.76,44.66,47.04,20211011-3
26,2021-10-11 16:56:36,Odenplan,A,22.5,48.6,71.5,103.91,117.67,120.5,1.03,14.85,28.17,38.26,40.28,20211011-3
27,2021-10-11 16:56:36,Odenplan,B,22.5,47.9,74.02,108.6,123.39,126.38,1.05,15.57,30.28,41.46,43.7,20211011-3
28,2021-10-11 16:56:36,Odenplan,C,22.4,47.9,73.08,109.7,125.86,129.06,1.04,15.89,32.09,44.46,46.93,20211011-3
29,2021-10-11 16:56:36,Odenplan,D,22.4,48.3,69.51,101.97,115.95,118.83,1.0,14.63,28.16,38.43,40.48,20211011-3
30,2021-10-11 16:56:36,Odenplan,E,22.5,49.1,81.1,118.83,134.94,138.3,1.01,17.03,32.71,44.61,46.99,20211011-3
31,2021-10-11 16:56:37,Odenplan,A,22.5,48.5,71.11,103.35,117.04,119.86,1.03,14.77,28.02,38.06,40.07,20211011-3
32,2021-10-11 16:56:37,Odenplan,A,22.5,48.4,70.1,101.86,115.33,118.11,1.03,14.55,27.6,37.49,39.46,20211011-3
33,2021-10-11 16:56:37,Odenplan,B,22.4,47.9,73.75,108.27,123.05,126.04,1.05,15.53,30.23,41.4,43.63,20211011-3
34,2021-10-11 16:56:37,Odenplan,C,22.5,47.9,72.78,109.29,125.4,128.59,1.04,15.84,31.99,44.32,46.79,20211011-3
35,2021-10-11 16:56:37,Odenplan,D,22.4,48.4,69.22,101.43,115.28,118.12,1.0,14.55,27.95,38.11,40.15,20211011-3
36,2021-10-11 16:56:37,Odenplan,E,22.5,48.9,80.97,118.72,134.86,138.22,1.01,17.02,32.72,44.64,47.03,20211011-3
